代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000762.SZ,西藏矿业,2010-01-22,16.09,15.54,6465194312.0,黑色金属矿采选业,0.31867909494805036
000923.SZ,河钢资源,2010-01-22,8.97,8.67,1730520000.0,黑色金属矿采选业,0.08529991842099797
600532.SH,未来股份,2010-01-22,9.38,9.12,1405404000.0,黑色金属矿采选业,0.06927446463984481
000655.SZ,金岭矿业,2010-01-25,17.41,17.12,10537522071.0,黑色金属矿采选业,0.5302756971735672
000762.SZ,西藏矿业,2010-01-25,15.63,14.89,6192250075.0,黑色金属矿采选业,0.31161023468984184
000923.SZ,河钢资源,2010-01-25,8.66,8.67,1730520000.0,黑色金属矿采选业,0.0870842967910118
600532.SH,未来股份,2010-01-25,8.93,9.16,1411488000.0,黑色金属矿采选业,0.07102977134557918
000655.SZ,金岭矿业,2010-01-26,17.26,15.99,9840974002.0,黑色金属矿采选业,0.5282832024672159
000762.SZ,西藏矿业,2010-01-26,14.85,14.18,5900006750.0,黑色金属矿采选业,0.3167241839918226
000923.SZ,河钢资源,2010-01-26,8.64,8.09,1615680000.0,黑色金属矿采选业,0.0867329396855195
600532.SH,未来股份,2010-01-26,9.16,8.25,1271556000.0,黑色金属矿采选业,0.06825967385544195
000655.SZ,金岭矿业,2010-01-27,16.02,16.08,9894554623.0,黑色金属矿采选业,0.5298142688849113
000762.SZ,西藏矿业,2010-01-27,14.14,14.28,5941361938.0,黑色金属矿采选业,0.31813643476634834
000923.SZ,河钢资源,2010-01-27,8.07,7.98,1593900000.0,黑色金属矿采选业,0.08534704141333237
600532.SH,未来股份,2010-01-27,8.24,8.08,1245699000.0,黑色金属矿采选业,0.06670225493540793
000655.SZ,金岭矿业,2010-01-28,16.07,16.06,9882647818.0,黑色金属矿采选业,0.5281863676672048
000762.SZ,西藏矿业,2010-01-28,14.25,14.3,5946875962.0,黑色金属矿采选业,0.3178357532497668
000923.SZ,河钢资源,2010-01-28,8.08,8.12,1621620000.0,黑色金属矿采选业,0.0866688354487806
600532.SH,未来股份,2010-01-28,8.01,8.17,1259388000.0,黑色金属矿采选业,0.06730904363424779
000655.SZ,金岭矿业,2010-01-29,16.01,16.07,9888601220.0,黑色金属矿采选业,0.528215289073603
000762.SZ,西藏矿业,2010-01-29,14.25,14.26,5930333888.0,黑色金属矿采选业,0.31677817309665
000923.SZ,河钢资源,2010-01-29,8.1,8.11,1619640000.0,黑色金属矿采选业,0.08651563469511317
600532.SH,未来股份,2010-01-29,8.14,8.32,1282203000.0,黑色金属矿采选业,0.06849090313463374
000655.SZ,金岭矿业,2010-02-01,15.96,15.19,9346841611.0,黑色金属矿采选业,0.5215201629659582
000762.SZ,西藏矿业,2010-02-01,14.12,13.74,5715286912.0,黑色金属矿采选业,0.3188924650478329
000923.SZ,河钢资源,2010-02-01,8.11,8.13,1623600000.0,黑色金属矿采选业,0.09059104367351514
600532.SH,未来股份,2010-02-01,8.3,8.02,1236573000.0,黑色金属矿采选业,0.0689963283126938
000655.SZ,金岭矿业,2010-02-02,15.48,15.36,9454002852.0,黑色金属矿采选业,0.5268918550137962
000762.SZ,西藏矿业,2010-02-02,13.81,13.55,5635333550.0,黑色金属矿采选业,0.3140692248842344
000923.SZ,河钢资源,2010-02-02,8.13,8.12,1621620000.0,黑色金属矿采选业,0.09037636050075015
600532.SH,未来股份,2010-02-02,8.14,7.99,1232010000.0,黑色金属矿采选业,0.06866255960121928
000655.SZ,金岭矿业,2010-02-03,15.53,16.01,9852880806.0,黑色金属矿采选业,0.5255181169540633
000762.SZ,西藏矿业,2010-02-03,13.59,14.38,5982717125.0,黑色金属矿采选业,0.3190971554110595
000923.SZ,河钢资源,2010-02-03,8.14,8.26,1649340000.0,黑色金属矿采选业,0.08797001284022381
600532.SH,未来股份,2010-02-03,8.04,8.2,1263951000.0,黑色金属矿采选业,0.06741471479465345
000655.SZ,金岭矿业,2010-02-04,15.86,16.01,9852880806.0,黑色金属矿采选业,0.5160334859301725
000762.SZ,西藏矿业,2010-02-04,14.41,15.04,6255661362.0,黑色金属矿采选业,0.3276331869828113
000923.SZ,河钢资源,2010-02-04,8.16,8.33,1663200000.0,黑色金属矿采选业,0.08710821846910129
600532.SH,未来股份,2010-02-04,8.17,8.58,1321749000.0,黑色金属矿采选业,0.06922510861791496
000655.SZ,金岭矿业,2010-02-05,15.38,15.63,9620698117.0,黑色金属矿采选业,0.5179616936497469
000762.SZ,西藏矿业,2010-02-05,14.58,14.18,5897249738.0,黑色金属矿采选业,0.31749769351691276
000923.SZ,河钢资源,2010-02-05,8.18,8.59,1714680000.0,黑色金属矿采选业,0.09231539604158104
600532.SH,未来股份,2010-02-05,8.58,8.71,1341522000.0,黑色金属矿采选业,0.07222521679175932
000655.SZ,金岭矿业,2010-02-08,15.64,15.76,9698092347.0,黑色金属矿采选业,0.5264496851999745
000762.SZ,西藏矿业,2010-02-08,13.98,13.57,5646361600.0,黑色金属矿采选业,0.3065061849781976
000923.SZ,河钢资源,2010-02-08,8.63,8.75,1746360000.0,黑色金属矿采选业,0.09479912536925109
600532.SH,未来股份,2010-02-08,8.78,8.64,1330875000.0,黑色金属矿采选业,0.07224500445257681
000655.SZ,金岭矿业,2010-02-09,15.65,15.96,9823113795.0,黑色金属矿采选业,0.5283762360972827
000762.SZ,西藏矿业,2010-02-09,13.49,13.75,5720800938.0,黑色金属矿采选业,0.30771660902684717
000923.SZ,河钢资源,2010-02-09,8.75,8.56,1708740000.0,黑色金属矿采选业,0.0919115494852995
600532.SH,未来股份,2010-02-09,8.55,8.69,1338480000.0,黑色金属矿采选业,0.07199560539057065
000655.SZ,金岭矿业,2010-02-10,16.15,16.18,9960042048.0,黑色金属矿采选业,0.5313530051760129
000762.SZ,西藏矿业,2010-02-10,13.86,13.76,5723557950.0,黑色金属矿采选业,0.3053430600368044
000923.SZ,河钢资源,2010-02-10,8.57,8.63,1722600000.0,黑色金属矿采选业,0.09189807455682339
600532.SH,未来股份,2010-02-10,8.87,8.69,1338480000.0,黑色金属矿采选业,0.07140586023035932
000655.SZ,金岭矿业,2010-02-11,16.19,16.46,10132690715.0,黑色金属矿采选业,0.5353752229614935
000762.SZ,西藏矿业,2010-02-11,13.78,13.83,5753885088.0,黑色金属矿采选业,0.3040147576322044
000923.SZ,河钢资源,2010-02-11,8.63,8.53,1702800000.0,黑色金属矿采选业,0.0899698762451402
600532.SH,未来股份,2010-02-11,8.67,8.68,1336959000.0,黑色金属矿采选业,0.07064014316116185
000655.SZ,金岭矿业,2010-02-12,16.48,16.43,10114830508.0,黑色金属矿采选业,0.5310771414303265
000762.SZ,西藏矿业,2010-02-12,13.91,14.11,5869679612.0,黑色金属矿采选业,0.30818634746151574
000923.SZ,河钢资源,2010-02-12,8.53,8.57,1710720000.0,黑色金属矿采选业,0.08982100952350314
600532.SH,未来股份,2010-02-12,8.68,8.76,1350648000.0,黑色金属矿采选业,0.07091550158465469
000655.SZ,金岭矿业,2010-02-22,16.47,16.52,10168411128.0,黑色金属矿采选业,0.5288446621109496
000762.SZ,西藏矿业,2010-02-22,14.22,14.4,5988231150.0,黑色金属矿采选业,0.31143942148874265
000923.SZ,河钢资源,2010-02-22,8.49,8.58,1712700000.0,黑色金属矿采选业,0.08907510144857543
600532.SH,未来股份,2010-02-22,8.75,8.81,1358253000.0,黑色金属矿采选业,0.07064081495173231
000655.SZ,金岭矿业,2010-02-23,16.45,16.27,10013622669.0,黑色金属矿采选业,0.5248587877824787
000762.SZ,西藏矿业,2010-02-23,14.42,14.33,5960661025.0,黑色金属矿采选业,0.3124249258611411
000923.SZ,河钢资源,2010-02-23,8.59,8.58,1712700000.0,黑色金属矿采选业,0.08977027351129674
600532.SH,未来股份,2010-02-23,8.73,9.03,1391715000.0,黑色金属矿采选业,0.07294601284508341
000655.SZ,金岭矿业,2010-02-24,16.1,16.54,10180317933.0,黑色金属矿采选业,0.5257168373868071
000762.SZ,西藏矿业,2010-02-24,14.18,14.46,6015801275.0,黑色金属矿采选业,0.31065906207003346
000923.SZ,河钢资源,2010-02-24,8.6,8.84,1766160000.0,黑色金属矿采选业,0.09120540788901148
600532.SH,未来股份,2010-02-24,9.01,9.1,1402362000.0,黑色金属矿采选业,0.07241869265414794
000655.SZ,金岭矿业,2010-02-25,16.55,16.73,10299385979.0,黑色金属矿采选业,0.5254048452212925
