代码,简称,日期,开盘价(元),收盘价(元)
601519.SH,大智慧,2011-01-28,8.56,8.72
601519.SH,大智慧,2011-01-31,8.42,8.23
601519.SH,大智慧,2011-02-01,8.21,8.27
601519.SH,大智慧,2011-02-09,7.90,7.83
601519.SH,大智慧,2011-02-10,7.81,8.12
601519.SH,大智慧,2011-02-11,8.17,8.04
601519.SH,大智慧,2011-02-14,8.04,8.84
601519.SH,大智慧,2011-02-15,8.93,8.94
601519.SH,大智慧,2011-02-16,8.83,8.96
601519.SH,大智慧,2011-02-17,8.99,9.28
601519.SH,大智慧,2011-02-18,9.28,8.85
601519.SH,大智慧,2011-02-21,8.76,8.99
601519.SH,大智慧,2011-02-22,8.89,8.64
601519.SH,大智慧,2011-02-23,8.62,8.74
601519.SH,大智慧,2011-02-24,8.76,8.88
601519.SH,大智慧,2011-02-25,8.95,8.89
601519.SH,大智慧,2011-02-28,8.83,8.71
601519.SH,大智慧,2011-03-01,8.75,8.63
601519.SH,大智慧,2011-03-02,8.59,8.72
601519.SH,大智慧,2011-03-03,8.69,8.43
601519.SH,大智慧,2011-03-04,8.44,8.44
601519.SH,大智慧,2011-03-07,8.40,8.53
601519.SH,大智慧,2011-03-08,8.54,8.41
601519.SH,大智慧,2011-03-09,8.41,8.62
601519.SH,大智慧,2011-03-10,8.62,8.57
601519.SH,大智慧,2011-03-11,8.52,8.46
601519.SH,大智慧,2011-03-14,8.45,8.35
601519.SH,大智慧,2011-03-15,8.38,8.07
601519.SH,大智慧,2011-03-16,8.09,8.17
601519.SH,大智慧,2011-03-17,8.09,8.16
601519.SH,大智慧,2011-03-18,8.09,8.13
601519.SH,大智慧,2011-03-21,8.03,7.98
601519.SH,大智慧,2011-03-22,8.00,7.97
601519.SH,大智慧,2011-03-23,7.97,8.04
601519.SH,大智慧,2011-03-24,8.07,7.93
601519.SH,大智慧,2011-03-25,7.93,7.97
601519.SH,大智慧,2011-03-28,7.97,7.96
601519.SH,大智慧,2011-03-29,7.96,7.74
601519.SH,大智慧,2011-03-30,7.68,7.56
601519.SH,大智慧,2011-03-31,7.56,7.62
601519.SH,大智慧,2011-04-01,7.66,7.64
601519.SH,大智慧,2011-04-06,7.63,7.82
601519.SH,大智慧,2011-04-07,7.76,7.73
601519.SH,大智慧,2011-04-08,7.73,7.77
601519.SH,大智慧,2011-04-11,7.77,7.63
601519.SH,大智慧,2011-04-12,7.63,7.66
601519.SH,大智慧,2011-04-13,7.65,7.72
601519.SH,大智慧,2011-04-14,7.73,7.65
601519.SH,大智慧,2011-04-15,7.63,7.71
601519.SH,大智慧,2011-04-18,7.69,7.64
601519.SH,大智慧,2011-04-19,7.62,7.36
601519.SH,大智慧,2011-04-20,7.30,7.26
601519.SH,大智慧,2011-04-21,7.26,7.26
601519.SH,大智慧,2011-04-22,7.29,7.04
601519.SH,大智慧,2011-04-25,7.01,6.75
601519.SH,大智慧,2011-04-26,6.69,6.88
601519.SH,大智慧,2011-04-27,6.87,6.75
601519.SH,大智慧,2011-04-28,6.72,6.08
601519.SH,大智慧,2011-04-29,6.00,5.93
601519.SH,大智慧,2011-05-03,5.87,5.92
601519.SH,大智慧,2011-05-04,5.93,5.64
601519.SH,大智慧,2011-05-05,5.61,5.73
601519.SH,大智慧,2011-05-06,5.73,5.74
601519.SH,大智慧,2011-05-09,5.75,5.80
601519.SH,大智慧,2011-05-10,5.79,5.75
601519.SH,大智慧,2011-05-11,5.75,5.77
601519.SH,大智慧,2011-05-12,5.73,5.63
601519.SH,大智慧,2011-05-13,5.64,5.82
601519.SH,大智慧,2011-05-16,5.83,5.86
601519.SH,大智慧,2011-05-17,5.84,6.01
601519.SH,大智慧,2011-05-18,6.01,5.94
601519.SH,大智慧,2011-05-19,5.99,5.82
601519.SH,大智慧,2011-05-20,5.82,5.74
601519.SH,大智慧,2011-05-23,5.70,5.40
601519.SH,大智慧,2011-05-24,5.36,5.40
601519.SH,大智慧,2011-05-25,5.37,5.24
601519.SH,大智慧,2011-05-26,5.27,5.26
601519.SH,大智慧,2011-05-27,5.24,5.16
601519.SH,大智慧,2011-05-30,5.19,5.09
601519.SH,大智慧,2011-05-31,5.09,5.22
601519.SH,大智慧,2011-06-01,5.22,5.25
601519.SH,大智慧,2011-06-02,5.20,5.13
