代码,简称,日期,开盘价(元),收盘价(元)
000563.SZ,陕国投A,2010-01-04,2.87,2.80
000563.SZ,陕国投A,2010-01-05,2.81,2.88
000563.SZ,陕国投A,2010-01-06,2.85,2.83
000563.SZ,陕国投A,2010-01-07,2.83,2.93
000563.SZ,陕国投A,2010-01-08,2.93,2.91
000563.SZ,陕国投A,2010-01-11,3.02,2.91
000563.SZ,陕国投A,2010-01-12,2.87,2.97
000563.SZ,陕国投A,2010-01-13,2.91,2.84
000563.SZ,陕国投A,2010-01-14,2.84,2.93
000563.SZ,陕国投A,2010-01-15,2.93,2.96
000563.SZ,陕国投A,2010-01-18,2.96,2.96
000563.SZ,陕国投A,2010-01-19,2.97,3.04
000563.SZ,陕国投A,2010-01-20,3.03,2.88
000563.SZ,陕国投A,2010-01-21,2.88,3.17
000563.SZ,陕国投A,2010-01-22,3.08,3.03
000563.SZ,陕国投A,2010-01-25,3.00,3.00
000563.SZ,陕国投A,2010-01-26,2.97,2.87
000563.SZ,陕国投A,2010-01-27,2.91,2.92
000563.SZ,陕国投A,2010-01-28,2.91,2.80
000563.SZ,陕国投A,2010-01-29,2.76,2.76
000563.SZ,陕国投A,2010-02-01,2.77,2.80
000563.SZ,陕国投A,2010-02-02,2.80,2.74
000563.SZ,陕国投A,2010-02-03,2.72,2.82
000563.SZ,陕国投A,2010-02-04,2.81,2.89
000563.SZ,陕国投A,2010-02-05,2.83,2.82
000563.SZ,陕国投A,2010-02-08,2.81,2.86
000563.SZ,陕国投A,2010-02-09,2.86,2.89
000563.SZ,陕国投A,2010-02-10,2.89,2.93
000563.SZ,陕国投A,2010-02-11,2.93,2.89
000563.SZ,陕国投A,2010-02-12,2.91,2.91
000563.SZ,陕国投A,2010-02-22,2.90,2.92
000563.SZ,陕国投A,2010-02-23,2.95,2.90
000563.SZ,陕国投A,2010-02-24,2.88,2.95
000563.SZ,陕国投A,2010-02-25,2.95,3.00
000563.SZ,陕国投A,2010-02-26,3.03,3.08
000563.SZ,陕国投A,2010-03-01,3.10,3.09
000563.SZ,陕国投A,2010-03-02,3.10,3.16
000563.SZ,陕国投A,2010-03-03,3.19,3.14
000563.SZ,陕国投A,2010-03-04,3.13,3.04
000563.SZ,陕国投A,2010-03-05,3.06,3.08
000563.SZ,陕国投A,2010-03-08,3.10,3.24
000563.SZ,陕国投A,2010-03-09,3.21,3.24
000563.SZ,陕国投A,2010-03-10,3.23,3.11
000563.SZ,陕国投A,2010-03-11,3.11,3.22
000563.SZ,陕国投A,2010-03-12,3.20,3.08
