代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600777.SH,新潮能源,2010-01-15,1.85,1.83,4371708720.0,石油和天然气开采业,0.0011806741321273055
601857.SH,中国石油,2010-01-15,10.41,10.32,2522029074332.0,石油和天然气开采业,0.6811282908475124
000968.SZ,蓝焰控股,2010-01-18,20.31,20.28,10696212540.0,石油和天然气开采业,0.002904632467140687
600028.SH,中国石化,2010-01-18,5.94,5.91,1121062536270.0,石油和天然气开采业,0.30443249218988744
600256.SH,广汇能源,2010-01-18,4.61,4.68,27379660214.0,石油和天然气开采业,0.007435141149211358
600759.SH,洲际油气,2010-01-18,4.46,4.78,7846294503.0,石油和天然气开采业,0.0021307169874320115
600777.SH,新潮能源,2010-01-18,1.85,1.86,4434251048.0,石油和天然气开采业,0.0012041523589127762
601857.SH,中国石油,2010-01-18,10.26,10.27,2511047815663.0,石油和天然气开采业,0.6818928648474157
000968.SZ,蓝焰控股,2010-01-19,20.27,20.45,10783549530.0,石油和天然气开采业,0.0029012314376818194
600028.SH,中国石化,2010-01-19,5.93,5.97,1132333853340.0,石油和天然气开采业,0.304645753619625
600256.SH,广汇能源,2010-01-19,4.68,4.55,26598472970.0,石油和天然气开采业,0.007156115503546457
600759.SH,洲际油气,2010-01-19,4.69,4.84,7940149700.0,石油和天然气开采业,0.0021362364836784746
600777.SH,新潮能源,2010-01-19,1.86,1.84,4390471419.0,石油和天然气开采业,0.001181222719996753
601857.SH,中国石油,2010-01-19,10.3,10.37,2534840542779.0,石油和天然气开采业,0.6819794402354715
000968.SZ,蓝焰控股,2010-01-20,20.48,19.55,10310902290.0,石油和天然气开采业,0.002840746647579845
600028.SH,中国石化,2010-01-20,5.98,5.69,1079445365550.0,石油和天然气开采业,0.2973969413332267
600256.SH,广汇能源,2010-01-20,4.55,4.46,26064979243.0,石油和天然气开采业,0.007181137045164502
600759.SH,洲际油气,2010-01-20,4.78,4.72,7743053786.0,石油和天然气开采业,0.002133281207207515
600777.SH,新潮能源,2010-01-20,1.84,1.76,4184081737.0,石油和天然气开采业,0.001152752284260353
601857.SH,中国石油,2010-01-20,10.39,10.24,2501896766772.0,石油和天然气开采业,0.6892951414825611
000968.SZ,蓝焰控股,2010-01-21,19.6,19.43,10249252650.0,石油和天然气开采业,0.0028549629505300266
600028.SH,中国石化,2010-01-21,5.69,5.64,1069041072870.0,石油和天然气开采业,0.2977848980665649
600256.SH,广汇能源,2010-01-21,4.53,4.46,26084032591.0,石油和天然气开采业,0.007265792852488882
600759.SH,洲际油气,2010-01-21,4.72,4.74,7780595864.0,石油和天然气开采业,0.002167310503831434
600777.SH,新潮能源,2010-01-21,1.76,1.77,4209098668.0,石油和天然气开采业,0.0011724582428227373
601857.SH,中国石油,2010-01-21,10.21,10.12,2472613410321.0,石油和天然气开采业,0.688754577383762
000968.SZ,蓝焰控股,2010-01-22,19.31,18.65,9833117580.0,石油和天然气开采业,0.002746707045629668
600028.SH,中国石化,2010-01-22,5.54,5.58,1057769755800.0,石油和天然气开采业,0.2954692260386694
600256.SH,广汇能源,2010-01-22,4.45,4.19,24531184777.0,石油和天然气开采业,0.006852351506675379
600759.SH,洲际油气,2010-01-22,4.66,4.56,7480259233.0,石油和天然气开采业,0.0020894777847675727
600777.SH,新潮能源,2010-01-22,1.74,1.71,4077759779.0,石油和天然气开采业,0.0011390498917805657
601857.SH,中国石油,2010-01-22,9.97,10.13,2476273829878.0,石油和天然气开采业,0.6917031877324774
000968.SZ,蓝焰控股,2010-01-25,18.61,18.25,9622481310.0,石油和天然气开采业,0.00271181175339495
600028.SH,中国石化,2010-01-25,5.54,5.55,1052567609460.0,石油和天然气开采业,0.2966350489670583
600256.SH,广汇能源,2010-01-25,4.15,4.1,23978637703.0,石油和天然气开采业,0.00675766982117367
600759.SH,洲际油气,2010-01-25,4.46,4.56,7480259233.0,石油和天然气开采业,0.002108089821427826
