代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600975.SH,新五丰,2010-01-20,4.16,3.98,1995666611.0,畜牧业,0.07911903778279937
000735.SZ,罗牛山,2010-01-21,7.31,7.23,6442566240.0,畜牧业,0.2568709976670029
002234.SZ,民和股份,2010-01-21,8.05,7.95,1826425000.0,畜牧业,0.07282123216694404
002299.SZ,圣农发展,2010-01-21,10.76,10.96,11045400000.0,畜牧业,0.44039018179052725
002321.SZ,华英农业,2010-01-21,12.42,12.44,3769080000.0,畜牧业,0.1502766605449364
600975.SH,新五丰,2010-01-21,3.98,3.98,1997469382.0,畜牧业,0.0796409278305894
000735.SZ,罗牛山,2010-01-22,7.15,7.04,6275341160.0,畜牧业,0.2526022558233782
002234.SZ,民和股份,2010-01-22,7.86,7.91,1816750000.0,畜牧业,0.07312991223366767
002299.SZ,圣农发展,2010-01-22,10.74,11.05,11135600000.0,畜牧业,0.4482429892220888
002321.SZ,华英农业,2010-01-22,12.33,12.0,3633840000.0,畜牧业,0.14627351053870424
600975.SH,新五丰,2010-01-22,3.96,3.95,1981244450.0,畜牧业,0.0797513321821611
000735.SZ,罗牛山,2010-01-25,6.98,7.23,6442566240.0,畜牧业,0.26119733423482283
002234.SZ,民和股份,2010-01-25,7.86,7.78,1786650000.0,畜牧业,0.07243514460328564
002299.SZ,圣农发展,2010-01-25,11.19,10.75,10836300000.0,畜牧业,0.4393300072563648
002321.SZ,华英农业,2010-01-25,12.0,12.01,3636780000.0,畜牧业,0.14744392309088916
600975.SH,新五丰,2010-01-25,3.96,3.92,1963216748.0,畜牧业,0.07959359081463754
000735.SZ,罗牛山,2010-01-26,7.23,7.66,6821023000.0,畜牧业,0.27647865097906416
002234.SZ,民和股份,2010-01-26,7.91,7.55,1732900000.0,畜牧业,0.0702401757451368
002299.SZ,圣农发展,2010-01-26,10.74,10.78,10860900000.0,畜牧业,0.44022824441707903
002321.SZ,华英农业,2010-01-26,12.01,11.29,3419220000.0,畜牧业,0.13859230983397003
600975.SH,新五丰,2010-01-26,3.94,3.66,1837022834.0,畜牧业,0.07446061902475
000735.SZ,罗牛山,2010-01-27,7.6,7.28,6486572840.0,畜牧业,0.2653815879188513
002234.SZ,民和股份,2010-01-27,7.49,7.46,1713550000.0,畜牧业,0.07010552894343935
002299.SZ,圣农发展,2010-01-27,10.79,10.91,11000300000.0,畜牧业,0.45004922531383146
002321.SZ,华英农业,2010-01-27,11.29,11.26,3410400000.0,畜牧业,0.13952781996948183
600975.SH,新五丰,2010-01-27,3.67,3.65,1831614523.0,畜牧业,0.07493583785439606
000735.SZ,罗牛山,2010-01-28,7.15,8.01,7137870520.0,畜牧业,0.28290124102304326
002234.SZ,民和股份,2010-01-28,7.44,7.49,1718925000.0,畜牧业,0.06812760393495267
002299.SZ,圣农发展,2010-01-28,10.89,11.03,11119200000.0,畜牧业,0.44069662938960436
002321.SZ,华英农业,2010-01-28,11.16,11.25,3408930000.0,畜牧业,0.13510899712435284
600975.SH,新五丰,2010-01-28,3.68,3.68,1846036685.0,畜牧业,0.07316552852804688
000735.SZ,罗牛山,2010-01-29,8.0,8.5,7569135200.0,畜牧业,0.2905482228315451
002234.SZ,民和股份,2010-01-29,7.48,7.53,1728600000.0,畜牧业,0.06635390235685165
002299.SZ,圣农发展,2010-01-29,10.98,11.33,11418500000.0,畜牧业,0.43830963442190823
002321.SZ,华英农业,2010-01-29,11.29,11.37,3445680000.0,畜牧业,0.13226559890834003
600975.SH,新五丰,2010-01-29,3.66,3.77,1889303170.0,畜牧业,0.07252264148135502
000735.SZ,罗牛山,2010-02-01,8.56,9.35,8326048720.0,畜牧业,0.3176663571085523
002234.SZ,民和股份,2010-02-01,7.54,7.27,1668400000.0,畜牧业,0.0636549902628853
002299.SZ,圣农发展,2010-02-01,11.42,10.85,10938800000.0,畜牧业,0.4173514789544772
002321.SZ,华英农业,2010-02-01,11.52,11.22,3400110000.0,畜牧业,0.12972546688008807
600975.SH,新五丰,2010-02-01,3.81,3.74,1876683778.0,畜牧业,0.07160170679399712
000735.SZ,罗牛山,2010-02-02,9.35,9.35,8326048720.0,畜牧业,0.3167013978129612
002234.SZ,民和股份,2010-02-02,7.3,7.23,1659800000.0,畜牧业,0.06313450686725659
002299.SZ,圣农发展,2010-02-02,10.94,11.05,11139700000.0,畜牧业,0.4237254284547405
002321.SZ,华英农业,2010-02-02,11.26,10.92,3307500000.0,畜牧业,0.12580876097328061
600975.SH,新五丰,2010-02-02,3.74,3.7,1856853306.0,畜牧业,0.07062990589176112
000735.SZ,罗牛山,2010-02-03,10.25,10.29,9162174120.0,畜牧业,0.3363086340851093
002234.SZ,民和股份,2010-02-03,7.26,7.17,1645825000.0,畜牧业,0.06041198851317235
002299.SZ,圣农发展,2010-02-03,11.07,11.31,11398000000.0,畜牧业,0.4183773153726177
002321.SZ,华英农业,2010-02-03,10.9,10.59,3207540000.0,畜牧业,0.11773661819181314
600975.SH,新五丰,2010-02-03,3.69,3.65,1829811753.0,畜牧业,0.06716544383728754
000735.SZ,罗牛山,2010-02-04,11.25,11.31,10077511400.0,畜牧业,0.3584686926603441
002234.SZ,民和股份,2010-02-04,7.14,7.2,1654425000.0,畜牧业,0.058849803618638404
002299.SZ,圣农发展,2010-02-04,11.23,11.29,11381600000.0,畜牧业,0.40485662684370394
002321.SZ,华英农业,2010-02-04,10.43,10.46,3169320000.0,畜牧业,0.11273636435899062
600975.SH,新五丰,2010-02-04,3.63,3.65,1829811753.0,畜牧业,0.06508851251832297
000735.SZ,罗牛山,2010-02-05,12.45,11.31,10077511400.0,畜牧业,0.3622732129675549
002234.SZ,民和股份,2010-02-05,7.16,7.74,1776975000.0,畜牧业,0.06387990219619309
002299.SZ,圣农发展,2010-02-05,10.98,11.04,11127400000.0,畜牧业,0.40001532024812897
002321.SZ,华英农业,2010-02-05,10.19,10.17,3079650000.0,畜牧业,0.11070934638838816
600975.SH,新五丰,2010-02-05,3.55,3.5,1755898175.0,畜牧业,0.0631222181997349
000735.SZ,罗牛山,2010-02-08,10.97,12.45,11089663200.0,畜牧业,0.3799946983304495
002234.SZ,民和股份,2010-02-08,8.15,7.84,1799550000.0,畜牧业,0.061662779747951264
002299.SZ,圣农发展,2010-02-08,11.34,11.28,11369300000.0,畜牧业,0.3895766395978897
002321.SZ,华英农业,2010-02-08,10.41,10.46,3169320000.0,畜牧业,0.10859886144357028
600975.SH,新五丰,2010-02-08,3.5,3.5,1755898175.0,畜牧业,0.060167020880139255
000735.SZ,罗牛山,2010-02-09,12.45,12.45,11089663200.0,畜牧业,0.38564957942746736
002234.SZ,民和股份,2010-02-09,7.69,7.53,1728600000.0,畜牧业,0.06011308467856085
002299.SZ,圣农发展,2010-02-09,11.38,10.9,10988000000.0,畜牧业,0.38211418167767364
002321.SZ,华英农业,2010-02-09,10.38,10.24,3101700000.0,畜牧业,0.10786344715231529
600975.SH,新五丰,2010-02-09,3.85,3.69,1847839455.0,畜牧业,0.06425970706398285
000735.SZ,罗牛山,2010-02-10,12.45,12.45,11089663200.0,畜牧业,0.38739940391008704
002234.SZ,民和股份,2010-02-10,7.44,7.45,1710325000.0,畜牧业,0.05974743087711804
002299.SZ,圣农发展,2010-02-10,10.86,10.72,10803500000.0,畜牧业,0.37740275648250754
002321.SZ,华英农业,2010-02-10,10.28,10.44,3161970000.0,畜牧业,0.11045829535937376
600975.SH,新五丰,2010-02-10,3.64,3.71,1860458846.0,畜牧业,0.0649921133709136
000735.SZ,罗牛山,2010-02-11,12.45,12.45,11089663200.0,畜牧业,0.3917294918884301
002234.SZ,民和股份,2010-02-11,7.44,7.34,1684525000.0,畜牧业,0.05950389208604259
002299.SZ,圣农发展,2010-02-11,10.68,10.45,10532900000.0,畜牧业,0.37206247752516464
002321.SZ,华英农业,2010-02-11,10.41,10.47,3170790000.0,畜牧业,0.11200447959365577
600975.SH,新五丰,2010-02-11,3.74,3.65,1831614523.0,畜牧业,0.06469965890670686
000735.SZ,罗牛山,2010-02-12,12.45,12.45,11089663200.0,畜牧业,0.38817305615253556
002234.SZ,民和股份,2010-02-12,7.33,7.46,1713550000.0,畜牧业,0.05997963404066025
002299.SZ,圣农发展,2010-02-12,10.52,10.59,10672300000.0,畜牧业,0.3735640327811493
002321.SZ,华英农业,2010-02-12,10.48,10.8,3270750000.0,畜牧业,0.11448652682354732
600975.SH,新五丰,2010-02-12,3.66,3.64,1822600672.0,畜牧业,0.06379675020210758
000735.SZ,罗牛山,2010-02-22,12.45,12.45,11089663200.0,畜牧业,0.38687692263876555
002234.SZ,民和股份,2010-02-22,7.45,7.41,1702800000.0,畜牧业,0.05940433104129709
002299.SZ,圣农发展,2010-02-22,10.61,10.74,10824000000.0,畜牧业,0.37760892599894275
002321.SZ,华英农业,2010-02-22,10.81,10.64,3223710000.0,畜牧业,0.11246319944863743
600975.SH,新五丰,2010-02-22,3.64,3.64,1824403442.0,畜牧业,0.0636466208723572
000735.SZ,罗牛山,2010-02-23,12.45,12.45,11089663200.0,畜牧业,0.3884417182815802
002234.SZ,民和股份,2010-02-23,7.43,7.65,1756550000.0,畜牧业,0.06152732395403222
002299.SZ,圣农发展,2010-02-23,10.74,10.63,10713300000.0,畜牧业,0.37525870582490306
002321.SZ,华英农业,2010-02-23,10.58,10.5,3179610000.0,畜牧业,0.11137337082205483
600975.SH,新五丰,2010-02-23,3.65,3.61,1809981281.0,畜牧业,0.06339888111742975
000735.SZ,罗牛山,2010-02-24,11.87,11.47,10218332520.0,畜牧业,0.36164201000200263
002234.SZ,民和股份,2010-02-24,7.65,7.96,1827500000.0,畜牧业,0.06467794740336555
002299.SZ,圣农发展,2010-02-24,10.64,10.99,11078200000.0,畜牧业,0.39207400105278484
002321.SZ,华英农业,2010-02-24,10.39,10.82,3278100000.0,畜牧业,0.11601684234362387
600975.SH,新五丰,2010-02-24,3.57,3.7,1853247766.0,畜牧业,0.0655891991982231
000735.SZ,罗牛山,2010-02-25,11.26,11.53,10271140440.0,畜牧业,0.3563260283348195
002234.SZ,民和股份,2010-02-25,8.0,7.98,1831800000.0,畜牧业,0.06354873857646545
002299.SZ,圣农发展,2010-02-25,10.98,11.39,11480000000.0,畜牧业,0.3982637399595062
002321.SZ,华英农业,2010-02-25,10.87,11.1,3361890000.0,畜牧业,0.11663056487216587
600975.SH,新五丰,2010-02-25,3.72,3.75,1880289319.0,畜牧业,0.06523092825704295
000735.SZ,罗牛山,2010-02-26,11.26,11.04,9831074440.0,畜牧业,0.34691481885183806
002234.SZ,民和股份,2010-02-26,8.01,8.06,1851150000.0,畜牧业,0.06532260241105244
002299.SZ,圣农发展,2010-02-26,11.39,11.3,11389800000.0,畜牧业,0.4019184706487346
002321.SZ,华英农业,2010-02-26,11.09,11.14,3373650000.0,畜牧业,0.11904794188696056
600975.SH,新五丰,2010-02-26,3.74,3.78,1892908710.0,畜牧业,0.06679616620141435
000735.SZ,罗牛山,2010-03-01,11.04,11.67,10394358920.0,畜牧业,0.3568095108915739
002234.SZ,民和股份,2010-03-01,8.06,8.15,1872650000.0,畜牧业,0.06428288033093107
002299.SZ,圣农发展,2010-03-01,11.35,11.43,11521000000.0,畜牧业,0.39548397420375236
002321.SZ,华英农业,2010-03-01,11.16,11.33,3432450000.0,畜牧业,0.1178264879138677
600975.SH,新五丰,2010-03-01,3.78,3.81,1910936412.0,畜牧业,0.06559714665987493
000735.SZ,罗牛山,2010-03-02,11.44,11.16,9945491600.0,畜牧业,0.34853826914562736
002234.SZ,民和股份,2010-03-02,8.15,8.08,1856525000.0,畜牧业,0.06506164161111813
002299.SZ,圣农发展,2010-03-02,11.43,11.35,11443100000.0,畜牧业,0.4010217320640368
002321.SZ,华英农业,2010-03-02,11.38,11.22,3398640000.0,畜牧业,0.11910483168565493
600975.SH,新五丰,2010-03-02,3.81,3.77,1891105940.0,畜牧业,0.0662735254935628
000735.SZ,罗牛山,2010-03-03,11.07,11.08,9866279720.0,畜牧业,0.33602793610545345
002234.SZ,民和股份,2010-03-03,8.06,8.35,1917800000.0,畜牧业,0.06531685641921356
002299.SZ,圣农发展,2010-03-03,11.3,11.67,11758800000.0,畜牧业,0.40048381023164487
002321.SZ,华英农业,2010-03-03,11.25,12.34,3738210000.0,畜牧业,0.12731678268582144
