代码,简称,日期,开盘价(元),收盘价(元)
600926.SH,杭州银行,2016-10-27,7.94,9.53
600926.SH,杭州银行,2016-10-28,10.48,10.48
600926.SH,杭州银行,2016-10-31,11.53,11.53
600926.SH,杭州银行,2016-11-01,12.19,12.69
600926.SH,杭州银行,2016-11-02,12.98,13.37
600926.SH,杭州银行,2016-11-03,12.88,12.77
600926.SH,杭州银行,2016-11-04,12.79,12.39
600926.SH,杭州银行,2016-11-07,12.27,12.31
600926.SH,杭州银行,2016-11-08,12.36,12.29
600926.SH,杭州银行,2016-11-09,12.19,11.85
600926.SH,杭州银行,2016-11-10,12.00,12.30
600926.SH,杭州银行,2016-11-11,12.19,12.22
600926.SH,杭州银行,2016-11-14,12.17,12.42
600926.SH,杭州银行,2016-11-15,12.32,12.27
600926.SH,杭州银行,2016-11-16,12.31,12.20
600926.SH,杭州银行,2016-11-17,12.14,11.98
600926.SH,杭州银行,2016-11-18,11.97,11.77
600926.SH,杭州银行,2016-11-21,11.74,11.71
600926.SH,杭州银行,2016-11-22,11.68,11.74
600926.SH,杭州银行,2016-11-23,11.75,11.71
600926.SH,杭州银行,2016-11-24,11.67,11.39
600926.SH,杭州银行,2016-11-25,11.39,11.33
600926.SH,杭州银行,2016-11-28,11.33,11.39
600926.SH,杭州银行,2016-11-29,11.33,11.02
600926.SH,杭州银行,2016-11-30,11.00,10.71
600926.SH,杭州银行,2016-12-01,10.72,10.79
600926.SH,杭州银行,2016-12-02,10.76,10.65
600926.SH,杭州银行,2016-12-05,10.63,10.73
600926.SH,杭州银行,2016-12-06,10.70,10.79
600926.SH,杭州银行,2016-12-07,10.76,10.81
600926.SH,杭州银行,2016-12-08,10.81,11.05
600926.SH,杭州银行,2016-12-09,10.99,11.03
600926.SH,杭州银行,2016-12-12,10.97,10.47
600926.SH,杭州银行,2016-12-13,10.39,10.27
600926.SH,杭州银行,2016-12-14,10.26,10.19
600926.SH,杭州银行,2016-12-15,10.16,10.23
600926.SH,杭州银行,2016-12-16,10.18,10.19
600926.SH,杭州银行,2016-12-19,10.18,10.01
600926.SH,杭州银行,2016-12-20,9.98,9.91
600926.SH,杭州银行,2016-12-21,9.95,10.04
600926.SH,杭州银行,2016-12-22,10.01,9.94
600926.SH,杭州银行,2016-12-23,9.90,9.84
