代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
601128.SH,常熟银行,2016-09-30,4.69,5.62,--,--
601128.SH,常熟银行,2016-10-10,6.19,6.19,0.57,10.0649
601128.SH,常熟银行,2016-10-11,6.81,6.81,0.62,10.0295
601128.SH,常熟银行,2016-10-12,7.49,7.49,0.68,10.0536
601128.SH,常熟银行,2016-10-13,8.24,8.24,0.75,9.9878
601128.SH,常熟银行,2016-10-14,9.06,9.06,0.82,9.9668
601128.SH,常熟银行,2016-10-17,9.96,9.96,0.90,9.9698
601128.SH,常熟银行,2016-10-18,10.31,10.11,0.15,1.4652
601128.SH,常熟银行,2016-10-19,9.95,9.85,-0.26,-2.5271
601128.SH,常熟银行,2016-10-20,9.85,9.46,-0.39,-3.9815
601128.SH,常熟银行,2016-10-21,9.36,9.12,-0.35,-3.6644
601128.SH,常熟银行,2016-10-24,9.12,9.30,0.18,2.0020
601128.SH,常熟银行,2016-10-25,9.23,9.58,0.28,3.0422
601128.SH,常熟银行,2016-10-26,9.52,9.33,-0.26,-2.6667
601128.SH,常熟银行,2016-10-27,9.30,9.40,0.07,0.7828
601128.SH,常熟银行,2016-10-28,9.40,10.34,0.94,10.0000
601128.SH,常熟银行,2016-10-31,10.40,11.37,1.03,9.9735
601128.SH,常熟银行,2016-11-01,11.72,11.51,0.15,1.2841
601128.SH,常熟银行,2016-11-02,11.22,11.31,-0.20,-1.7433
601128.SH,常熟银行,2016-11-03,11.11,10.96,-0.36,-3.1452
601128.SH,常熟银行,2016-11-04,10.86,10.76,-0.20,-1.8318
601128.SH,常熟银行,2016-11-07,10.75,10.88,0.12,1.1026
601128.SH,常熟银行,2016-11-08,10.89,10.96,0.08,0.7550
601128.SH,常熟银行,2016-11-09,10.77,10.53,-0.43,-3.9134
601128.SH,常熟银行,2016-11-10,10.67,11.58,1.05,9.9653
601128.SH,常熟银行,2016-11-11,12.09,11.78,0.20,1.7336
601128.SH,常熟银行,2016-11-14,11.48,12.56,0.78,6.6615
601128.SH,常熟银行,2016-11-15,12.23,12.18,-0.38,-3.0501
601128.SH,常熟银行,2016-11-16,12.21,11.95,-0.23,-1.8727
601128.SH,常熟银行,2016-11-17,11.87,12.00,0.05,0.3817
601128.SH,常熟银行,2016-11-18,11.93,11.59,-0.41,-3.4221
601128.SH,常熟银行,2016-11-21,11.51,11.82,0.23,1.9685
601128.SH,常熟银行,2016-11-22,11.69,11.90,0.08,0.6950
601128.SH,常熟银行,2016-11-23,11.86,11.93,0.03,0.2301
601128.SH,常熟银行,2016-11-24,11.71,11.78,-0.15,-1.2242
601128.SH,常熟银行,2016-11-25,11.67,11.78,0.00,0.0000
601128.SH,常熟银行,2016-11-28,11.77,11.67,-0.11,-0.9295
601128.SH,常熟银行,2016-11-29,11.52,11.12,-0.55,-4.6912
601128.SH,常熟银行,2016-11-30,11.04,10.85,-0.27,-2.4610
601128.SH,常熟银行,2016-12-01,10.92,11.03,0.18,1.6821
601128.SH,常熟银行,2016-12-02,10.99,10.89,-0.15,-1.3234
601128.SH,常熟银行,2016-12-05,10.69,10.83,-0.05,-0.5029
601128.SH,常熟银行,2016-12-06,10.86,10.94,0.11,1.0110
601128.SH,常熟银行,2016-12-07,10.88,10.99,0.05,0.4170
601128.SH,常熟银行,2016-12-08,10.96,11.11,0.13,1.1628
601128.SH,常熟银行,2016-12-09,11.02,10.98,-0.14,-1.2315
601128.SH,常熟银行,2016-12-12,10.87,10.24,-0.74,-6.7332
601128.SH,常熟银行,2016-12-13,10.23,10.19,-0.05,-0.4456
601128.SH,常熟银行,2016-12-14,10.13,10.08,-0.11,-1.0743
601128.SH,常熟银行,2016-12-15,10.01,10.09,0.01,0.0905
601128.SH,常熟银行,2016-12-16,10.05,10.03,-0.06,-0.6329
601128.SH,常熟银行,2016-12-19,10.02,9.73,-0.30,-3.0027
601128.SH,常熟银行,2016-12-20,9.70,9.56,-0.16,-1.6886
601128.SH,常熟银行,2016-12-21,9.62,9.72,0.16,1.6221
601128.SH,常熟银行,2016-12-22,9.71,9.57,-0.15,-1.5023
601128.SH,常熟银行,2016-12-23,9.53,9.33,-0.25,-2.5739
601128.SH,常熟银行,2016-12-26,9.30,9.49,0.16,1.7613
601128.SH,常熟银行,2016-12-27,9.41,9.42,-0.07,-0.7692
601128.SH,常熟银行,2016-12-28,9.40,9.42,0.00,0.0000
601128.SH,常熟银行,2016-12-29,9.40,9.48,0.06,0.6783
601128.SH,常熟银行,2016-12-30,9.42,9.46,-0.02,-0.1925
601128.SH,常熟银行,2017-01-03,9.49,9.57,0.11,1.1572
601128.SH,常熟银行,2017-01-04,9.60,9.59,0.02,0.1907
601128.SH,常熟银行,2017-01-05,9.56,9.58,-0.01,-0.0951
601128.SH,常熟银行,2017-01-06,9.56,9.43,-0.16,-1.6190
601128.SH,常熟银行,2017-01-09,9.43,9.42,-0.01,-0.0968
601128.SH,常熟银行,2017-01-10,9.40,9.31,-0.11,-1.1628
601128.SH,常熟银行,2017-01-11,9.34,9.23,-0.07,-0.7843
601128.SH,常熟银行,2017-01-12,9.22,9.18,-0.05,-0.5929
601128.SH,常熟银行,2017-01-13,9.18,9.13,-0.05,-0.4970
601128.SH,常熟银行,2017-01-16,9.12,8.76,-0.37,-4.0959
601128.SH,常熟银行,2017-01-17,8.67,8.71,-0.05,-0.5208
601128.SH,常熟银行,2017-01-18,8.67,8.39,-0.33,-3.7696
601128.SH,常熟银行,2017-01-19,8.30,8.30,-0.08,-0.9793
601128.SH,常熟银行,2017-01-20,8.26,8.49,0.18,2.1978
601128.SH,常熟银行,2017-01-23,8.45,8.49,0.01,0.1075
601128.SH,常熟银行,2017-01-24,8.47,8.42,-0.07,-0.8593
601128.SH,常熟银行,2017-01-25,8.40,8.43,0.01,0.1083
601128.SH,常熟银行,2017-01-26,8.45,8.51,0.08,0.9740
601128.SH,常熟银行,2017-02-03,8.54,8.39,-0.12,-1.3934
601128.SH,常熟银行,2017-02-06,8.39,8.60,0.21,2.5000
601128.SH,常熟银行,2017-02-07,8.58,8.50,-0.10,-1.1665
601128.SH,常熟银行,2017-02-08,8.47,8.74,0.24,2.7897
601128.SH,常熟银行,2017-02-09,8.67,8.75,0.01,0.1044
601128.SH,常熟银行,2017-02-10,8.76,9.07,0.32,3.6496
601128.SH,常熟银行,2017-02-13,9.26,9.64,0.57,6.2374
601128.SH,常熟银行,2017-02-14,9.81,9.67,0.04,0.3788
601128.SH,常熟银行,2017-02-15,9.58,10.57,0.89,9.2453
601128.SH,常熟银行,2017-02-16,10.29,10.65,0.08,0.7772
601128.SH,常熟银行,2017-02-17,10.45,10.32,-0.33,-3.0848
601128.SH,常熟银行,2017-02-20,10.14,11.35,1.03,9.9912
601128.SH,常熟银行,2017-02-21,11.72,11.20,-0.16,-1.3666
601128.SH,常熟银行,2017-02-22,10.95,10.64,-0.56,-4.9715
601128.SH,常熟银行,2017-02-23,10.63,10.59,-0.05,-0.4288
601128.SH,常熟银行,2017-02-24,10.58,10.74,0.15,1.3781
601128.SH,常熟银行,2017-02-27,10.58,10.74,0.00,0.0000
601128.SH,常熟银行,2017-02-28,10.58,11.82,1.08,10.0255
601128.SH,常熟银行,2017-03-01,11.84,11.54,-0.27,-2.3166
601128.SH,常熟银行,2017-03-02,11.63,12.13,0.58,5.0593
