代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
002673.SZ,西部证券,2012-05-03,5.76,5.78,--,--
002673.SZ,西部证券,2012-05-04,5.98,5.88,0.11,1.8621
002673.SZ,西部证券,2012-05-07,5.83,6.08,0.20,3.3175
002673.SZ,西部证券,2012-05-08,6.05,5.92,-0.16,-2.6212
002673.SZ,西部证券,2012-05-09,5.82,5.79,-0.13,-2.2207
002673.SZ,西部证券,2012-05-10,5.76,6.07,0.28,4.8176
002673.SZ,西部证券,2012-05-11,6.01,6.07,0.00,0.0657
002673.SZ,西部证券,2012-05-14,6.15,6.25,0.18,2.9528
002673.SZ,西部证券,2012-05-15,6.17,6.74,0.49,7.8394
002673.SZ,西部证券,2012-05-16,6.67,6.64,-0.10,-1.4775
002673.SZ,西部证券,2012-05-17,6.77,7.31,0.67,10.0180
002673.SZ,西部证券,2012-05-18,7.17,7.62,0.31,4.2530
002673.SZ,西部证券,2012-05-21,7.37,7.00,-0.61,-8.0544
002673.SZ,西部证券,2012-05-22,7.01,7.13,0.13,1.8771
002673.SZ,西部证券,2012-05-23,7.11,7.67,0.54,7.5377
002673.SZ,西部证券,2012-05-24,7.56,7.55,-0.12,-1.6096
002673.SZ,西部证券,2012-05-25,7.55,7.40,-0.15,-2.0053
002673.SZ,西部证券,2012-05-28,7.25,7.14,-0.26,-3.5003
002673.SZ,西部证券,2012-05-29,7.05,7.36,0.22,3.0692
002673.SZ,西部证券,2012-05-30,7.37,7.31,-0.04,-0.5956
002673.SZ,西部证券,2012-05-31,7.20,7.37,0.06,0.8170
002673.SZ,西部证券,2012-06-01,7.48,7.33,-0.04,-0.5943
002673.SZ,西部证券,2012-06-04,7.07,7.08,-0.25,-3.3696
002673.SZ,西部证券,2012-06-05,7.16,6.86,-0.22,-3.0934
002673.SZ,西部证券,2012-06-06,6.90,6.64,-0.23,-3.3082
002673.SZ,西部证券,2012-06-07,6.76,6.64,0.01,0.1200
002673.SZ,西部证券,2012-06-08,6.75,6.78,0.14,2.0384
002673.SZ,西部证券,2012-06-11,6.79,6.90,0.12,1.7039
002673.SZ,西部证券,2012-06-12,6.78,6.69,-0.20,-2.9463
002673.SZ,西部证券,2012-06-13,6.77,7.33,0.64,9.5833
002673.SZ,西部证券,2012-06-14,7.23,7.18,-0.15,-2.0641
002673.SZ,西部证券,2012-06-15,7.28,7.33,0.14,1.9967
002673.SZ,西部证券,2012-06-18,7.41,7.29,-0.03,-0.4350
002673.SZ,西部证券,2012-06-19,7.24,7.09,-0.20,-2.7307
002673.SZ,西部证券,2012-06-20,7.16,7.23,0.13,1.8529
002673.SZ,西部证券,2012-06-21,7.13,7.02,-0.21,-2.8666
002673.SZ,西部证券,2012-06-25,6.90,6.61,-0.41,-5.7889
002673.SZ,西部证券,2012-06-26,6.53,6.69,0.08,1.2048
002673.SZ,西部证券,2012-06-27,6.66,6.50,-0.19,-2.7976
002673.SZ,西部证券,2012-06-28,6.50,6.50,0.00,0.0000
002673.SZ,西部证券,2012-06-29,6.34,6.69,0.19,2.8781
002673.SZ,西部证券,2012-07-02,6.69,6.70,0.01,0.1786
002673.SZ,西部证券,2012-07-03,6.73,6.69,-0.02,-0.2377
002673.SZ,西部证券,2012-07-04,6.68,6.62,-0.07,-1.0125
002673.SZ,西部证券,2012-07-05,6.53,6.32,-0.30,-4.5126
002673.SZ,西部证券,2012-07-06,6.39,6.62,0.30,4.7889
002673.SZ,西部证券,2012-07-09,6.57,6.31,-0.31,-4.6903
002673.SZ,西部证券,2012-07-10,6.35,6.29,-0.02,-0.3155
002673.SZ,西部证券,2012-07-11,6.30,6.42,0.12,1.9620
002673.SZ,西部证券,2012-07-12,6.38,6.59,0.18,2.7312
002673.SZ,西部证券,2012-07-13,6.45,6.38,-0.21,-3.2024
002673.SZ,西部证券,2012-07-16,6.35,6.04,-0.34,-5.3683
002673.SZ,西部证券,2012-07-17,5.98,6.10,0.06,1.0554
002673.SZ,西部证券,2012-07-18,6.01,6.13,0.03,0.4569
002673.SZ,西部证券,2012-07-19,6.05,6.28,0.15,2.4691
002673.SZ,西部证券,2012-07-20,6.19,6.12,-0.16,-2.5999
002673.SZ,西部证券,2012-07-23,6.02,6.05,-0.06,-1.0417
002673.SZ,西部证券,2012-07-24,5.98,6.16,0.11,1.7763
002673.SZ,西部证券,2012-07-25,6.11,6.05,-0.11,-1.7453
002673.SZ,西部证券,2012-07-26,6.05,6.11,0.05,0.8553
002673.SZ,西部证券,2012-07-27,6.15,6.01,-0.10,-1.6308
002673.SZ,西部证券,2012-07-30,5.97,5.76,-0.24,-4.0451
002673.SZ,西部证券,2012-07-31,5.65,5.44,-0.32,-5.5978
002673.SZ,西部证券,2012-08-01,5.40,5.49,0.04,0.8053
002673.SZ,西部证券,2012-08-02,5.38,5.22,-0.27,-4.8656
002673.SZ,西部证券,2012-08-03,5.26,5.50,0.29,5.4962
002673.SZ,西部证券,2012-08-06,5.40,5.62,0.12,2.1708
002673.SZ,西部证券,2012-08-07,5.58,5.57,-0.06,-0.9915
