代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
002423.SZ,中粮资本,2010-06-03,9.80,9.86,--,--
002423.SZ,中粮资本,2010-06-04,9.40,9.00,-0.85,-8.6481
002423.SZ,中粮资本,2010-06-07,8.54,8.72,-0.28,-3.1556
002423.SZ,中粮资本,2010-06-08,8.64,8.95,0.24,2.6966
002423.SZ,中粮资本,2010-06-09,8.93,9.01,0.06,0.6565
002423.SZ,中粮资本,2010-06-10,8.95,9.08,0.07,0.7609
002423.SZ,中粮资本,2010-06-11,9.13,9.48,0.40,4.4229
002423.SZ,中粮资本,2010-06-17,9.50,9.07,-0.41,-4.3388
002423.SZ,中粮资本,2010-06-18,9.03,8.70,-0.37,-4.1037
002423.SZ,中粮资本,2010-06-21,8.67,9.04,0.34,3.9414
002423.SZ,中粮资本,2010-06-22,8.92,8.96,-0.08,-0.8667
002423.SZ,中粮资本,2010-06-23,8.84,8.94,-0.02,-0.2186
002423.SZ,中粮资本,2010-06-24,8.90,8.98,0.04,0.4381
002423.SZ,中粮资本,2010-06-25,8.90,8.76,-0.23,-2.5082
002423.SZ,中粮资本,2010-06-28,8.71,8.67,-0.09,-1.0067
002423.SZ,中粮资本,2010-06-29,8.73,8.08,-0.59,-6.7797
002423.SZ,中粮资本,2010-06-30,8.02,7.93,-0.16,-1.9394
002423.SZ,中粮资本,2010-07-01,7.93,7.87,-0.06,-0.7417
002423.SZ,中粮资本,2010-07-02,7.89,7.80,-0.07,-0.8717
002423.SZ,中粮资本,2010-07-05,7.71,7.78,-0.02,-0.2513
002423.SZ,中粮资本,2010-07-06,7.75,7.91,0.13,1.6373
002423.SZ,中粮资本,2010-07-07,7.92,7.94,0.04,0.4957
002423.SZ,中粮资本,2010-07-08,7.95,7.89,-0.06,-0.7398
002423.SZ,中粮资本,2010-07-09,7.91,8.03,0.15,1.8634
002423.SZ,中粮资本,2010-07-12,8.08,8.26,0.23,2.8049
002423.SZ,中粮资本,2010-07-13,8.14,8.04,-0.22,-2.6097
002423.SZ,中粮资本,2010-07-14,8.02,8.07,0.03,0.3654
002423.SZ,中粮资本,2010-07-15,8.01,7.77,-0.30,-3.7621
002423.SZ,中粮资本,2010-07-16,7.77,7.77,0.00,0.0000
002423.SZ,中粮资本,2010-07-19,7.82,8.13,0.36,4.6658
002423.SZ,中粮资本,2010-07-20,8.09,8.28,0.15,1.8072
002423.SZ,中粮资本,2010-07-21,8.31,8.29,0.01,0.1183
002423.SZ,中粮资本,2010-07-22,8.33,8.43,0.15,1.7730
002423.SZ,中粮资本,2010-07-23,8.43,8.37,-0.07,-0.8130
002423.SZ,中粮资本,2010-07-26,8.36,8.46,0.10,1.1710
002423.SZ,中粮资本,2010-07-27,8.42,8.38,-0.09,-1.0417
002423.SZ,中粮资本,2010-07-28,8.34,8.58,0.21,2.4561
002423.SZ,中粮资本,2010-07-29,8.57,8.62,0.04,0.4566
002423.SZ,中粮资本,2010-07-30,8.59,8.60,-0.02,-0.2273
002423.SZ,中粮资本,2010-08-02,8.62,8.73,0.13,1.4806
002423.SZ,中粮资本,2010-08-03,8.73,8.50,-0.23,-2.5814
