代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
601187.SH,厦门银行,2020-10-27,8.05,9.41,--,--
601187.SH,厦门银行,2020-10-28,8.95,8.47,-0.94,-9.9894
601187.SH,厦门银行,2020-10-29,7.70,7.79,-0.68,-8.0283
601187.SH,厦门银行,2020-10-30,7.68,7.61,-0.18,-2.3107
601187.SH,厦门银行,2020-11-02,7.58,7.46,-0.15,-1.9711
601187.SH,厦门银行,2020-11-03,7.49,8.09,0.63,8.4450
601187.SH,厦门银行,2020-11-04,8.05,8.12,0.03,0.3708
601187.SH,厦门银行,2020-11-05,8.12,7.95,-0.17,-2.0936
601187.SH,厦门银行,2020-11-06,7.90,8.28,0.33,4.1509
601187.SH,厦门银行,2020-11-09,8.40,9.11,0.83,10.0242
601187.SH,厦门银行,2020-11-10,9.60,8.92,-0.19,-2.0856
601187.SH,厦门银行,2020-11-11,8.47,9.81,0.89,9.9776
601187.SH,厦门银行,2020-11-12,9.58,9.18,-0.63,-6.4220
601187.SH,厦门银行,2020-11-13,8.91,8.98,-0.20,-2.1786
601187.SH,厦门银行,2020-11-16,9.10,9.02,0.04,0.4454
601187.SH,厦门银行,2020-11-17,8.91,9.21,0.19,2.1064
601187.SH,厦门银行,2020-11-18,9.18,10.13,0.92,9.9891
601187.SH,厦门银行,2020-11-19,10.24,10.79,0.66,6.5153
601187.SH,厦门银行,2020-11-20,10.42,10.20,-0.59,-5.4680
601187.SH,厦门银行,2020-11-23,10.00,10.55,0.35,3.4314
601187.SH,厦门银行,2020-11-24,10.25,10.26,-0.29,-2.7488
601187.SH,厦门银行,2020-11-25,10.23,10.28,0.02,0.1949
601187.SH,厦门银行,2020-11-26,10.10,10.33,0.05,0.4864
601187.SH,厦门银行,2020-11-27,10.28,11.36,1.03,9.9710
601187.SH,厦门银行,2020-11-30,12.15,11.69,0.33,2.9049
601187.SH,厦门银行,2020-12-01,11.81,12.86,1.17,10.0086
601187.SH,厦门银行,2020-12-02,13.30,14.15,1.29,10.0311
601187.SH,厦门银行,2020-12-03,14.02,14.29,0.14,0.9894
601187.SH,厦门银行,2020-12-04,13.37,12.86,-1.43,-10.0070
601187.SH,厦门银行,2020-12-07,12.57,13.08,0.22,1.7107
601187.SH,厦门银行,2020-12-08,12.69,12.76,-0.32,-2.4465
601187.SH,厦门银行,2020-12-09,12.70,13.09,0.33,2.5862
601187.SH,厦门银行,2020-12-10,12.50,12.36,-0.73,-5.5768
601187.SH,厦门银行,2020-12-11,12.25,11.88,-0.48,-3.8835
601187.SH,厦门银行,2020-12-14,11.85,12.05,0.17,1.4310
601187.SH,厦门银行,2020-12-15,11.94,11.68,-0.37,-3.0705
601187.SH,厦门银行,2020-12-16,11.63,11.45,-0.23,-1.9692
601187.SH,厦门银行,2020-12-17,11.20,12.60,1.15,10.0437
601187.SH,厦门银行,2020-12-18,12.49,12.47,-0.13,-1.0317
601187.SH,厦门银行,2020-12-21,12.22,12.47,0.00,0.0000
601187.SH,厦门银行,2020-12-22,12.21,11.72,-0.75,-6.0144
601187.SH,厦门银行,2020-12-23,11.60,12.02,0.30,2.5597
601187.SH,厦门银行,2020-12-24,11.81,12.40,0.38,3.1614
601187.SH,厦门银行,2020-12-25,12.32,12.70,0.30,2.4194
601187.SH,厦门银行,2020-12-28,12.52,12.74,0.04,0.3150
601187.SH,厦门银行,2020-12-29,12.55,13.06,0.32,2.5118
601187.SH,厦门银行,2020-12-30,12.80,13.00,-0.06,-0.4594
601187.SH,厦门银行,2020-12-31,13.15,13.20,0.20,1.5385
601187.SH,厦门银行,2021-01-04,12.88,12.69,-0.51,-3.8636
601187.SH,厦门银行,2021-01-05,12.60,12.28,-0.41,-3.2309
601187.SH,厦门银行,2021-01-06,12.01,12.41,0.13,1.0586
601187.SH,厦门银行,2021-01-07,12.38,11.79,-0.62,-4.9960
601187.SH,厦门银行,2021-01-08,11.58,11.53,-0.26,-2.2053
601187.SH,厦门银行,2021-01-11,11.52,11.22,-0.31,-2.6886
601187.SH,厦门银行,2021-01-12,11.07,11.70,0.48,4.2781
601187.SH,厦门银行,2021-01-13,11.47,11.17,-0.53,-4.5299
601187.SH,厦门银行,2021-01-14,11.08,11.10,-0.07,-0.6267
601187.SH,厦门银行,2021-01-15,11.32,11.79,0.69,6.2162
601187.SH,厦门银行,2021-01-18,11.38,11.47,-0.32,-2.7142

数据来源: Wind
