代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
000567.SZ,海德股份,2010-01-04,5.92,5.91,0.04,0.7026
000567.SZ,海德股份,2010-01-05,6.00,6.40,0.49,8.3721
000567.SZ,海德股份,2010-01-06,6.21,6.22,-0.18,-2.7897
000567.SZ,海德股份,2010-01-07,6.23,6.85,0.62,10.0442
000567.SZ,海德股份,2010-01-08,6.83,7.33,0.48,7.0211
000567.SZ,海德股份,2010-01-11,7.13,7.47,0.14,1.9681
000567.SZ,海德股份,2010-01-12,7.28,7.20,-0.27,-3.5846
000567.SZ,海德股份,2010-01-13,7.00,6.83,-0.37,-5.1478
000567.SZ,海德股份,2010-01-14,6.83,7.00,0.17,2.5126
000567.SZ,海德股份,2010-01-15,6.99,6.91,-0.10,-1.3725
000567.SZ,海德股份,2010-01-18,7.14,7.60,0.69,10.0398
000567.SZ,海德股份,2010-01-19,7.69,7.82,0.21,2.8004
000567.SZ,海德股份,2010-01-20,7.60,7.75,-0.07,-0.8787
000567.SZ,海德股份,2010-01-21,7.55,7.60,-0.14,-1.8617
000567.SZ,海德股份,2010-01-22,7.48,7.35,-0.25,-3.3424
000567.SZ,海德股份,2010-01-25,7.24,7.28,-0.07,-0.9346
000567.SZ,海德股份,2010-01-26,7.29,6.97,-0.31,-4.2453
000567.SZ,海德股份,2010-01-27,6.99,6.65,-0.32,-4.5320
000567.SZ,海德股份,2010-01-28,6.50,7.32,0.67,10.0103
000567.SZ,海德股份,2010-01-29,7.14,7.62,0.30,4.0338
000567.SZ,海德股份,2010-02-01,7.55,8.32,0.70,9.1975
000567.SZ,海德股份,2010-02-02,8.34,8.71,0.39,4.7069
000567.SZ,海德股份,2010-02-03,8.45,9.44,0.73,8.4385
000567.SZ,海德股份,2010-02-04,9.39,10.39,0.95,10.0364
000567.SZ,海德股份,2010-02-05,10.01,9.35,-1.04,-9.9802
000567.SZ,海德股份,2010-02-08,8.76,10.10,0.74,7.9295
000567.SZ,海德股份,2010-02-09,9.55,9.11,-0.99,-9.7959
000567.SZ,海德股份,2010-02-10,8.92,8.75,-0.36,-3.9216
000567.SZ,海德股份,2010-02-11,8.78,8.43,-0.32,-3.6892
000567.SZ,海德股份,2010-02-12,8.44,9.27,0.84,10.0244
000567.SZ,海德股份,2010-02-22,9.15,8.80,-0.47,-5.0370
000567.SZ,海德股份,2010-02-23,8.65,9.09,0.29,3.2761
000567.SZ,海德股份,2010-02-24,8.93,8.72,-0.37,-4.0785
000567.SZ,海德股份,2010-02-25,8.71,9.40,0.68,7.7953
000567.SZ,海德股份,2010-02-26,9.19,9.25,-0.15,-1.6070
000567.SZ,海德股份,2010-03-01,9.21,9.54,0.29,3.1180
