代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
002670.SZ,国盛金控,2012-04-16,4.09,3.82,--,--
002670.SZ,国盛金控,2012-04-17,3.99,4.13,0.30,7.9596
002670.SZ,国盛金控,2012-04-18,3.99,4.02,-0.10,-2.4922
002670.SZ,国盛金控,2012-04-19,3.98,4.03,0.00,0.1065
002670.SZ,国盛金控,2012-04-20,4.02,4.04,0.01,0.2128
002670.SZ,国盛金控,2012-04-23,3.98,3.81,-0.23,-5.7325
002670.SZ,国盛金控,2012-04-24,3.75,3.64,-0.16,-4.2793
002670.SZ,国盛金控,2012-04-25,3.59,3.64,0.00,0.0000
002670.SZ,国盛金控,2012-04-26,3.66,3.71,0.07,1.8824
002670.SZ,国盛金控,2012-04-27,3.71,3.66,-0.06,-1.5012
002670.SZ,国盛金控,2012-05-02,3.68,3.78,0.12,3.2825
002670.SZ,国盛金控,2012-05-03,3.75,3.75,-0.03,-0.6810
002670.SZ,国盛金控,2012-05-04,3.76,3.76,0.01,0.3429
002670.SZ,国盛金控,2012-05-07,3.76,3.73,-0.03,-0.7973
002670.SZ,国盛金控,2012-05-08,3.72,3.81,0.08,2.0666
002670.SZ,国盛金控,2012-05-09,3.75,3.71,-0.10,-2.5872
002670.SZ,国盛金控,2012-05-10,3.71,3.72,0.01,0.2309
002670.SZ,国盛金控,2012-05-11,3.71,3.65,-0.07,-1.9585
002670.SZ,国盛金控,2012-05-14,3.68,3.63,-0.02,-0.4700
002670.SZ,国盛金控,2012-05-15,3.60,3.67,0.04,1.0626
002670.SZ,国盛金控,2012-05-16,3.67,3.63,-0.03,-0.9346
002670.SZ,国盛金控,2012-05-17,3.68,3.70,0.06,1.7689
002670.SZ,国盛金控,2012-05-18,3.66,3.64,-0.06,-1.5064
002670.SZ,国盛金控,2012-05-21,3.65,3.64,0.00,0.0000
002670.SZ,国盛金控,2012-05-22,3.66,3.69,0.05,1.2941
002670.SZ,国盛金控,2012-05-23,3.68,3.69,-0.00,-0.1161
002670.SZ,国盛金控,2012-05-24,3.68,3.62,-0.06,-1.7442
002670.SZ,国盛金控,2012-05-25,3.63,3.48,-0.14,-3.7870
