代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
600016.SH,民生银行,2010-01-04,3.22,3.18,0.01,0.2528
600016.SH,民生银行,2010-01-05,3.21,3.24,0.06,1.7654
600016.SH,民生银行,2010-01-06,3.22,3.17,-0.06,-1.9827
600016.SH,民生银行,2010-01-07,3.17,3.09,-0.08,-2.6549
600016.SH,民生银行,2010-01-08,3.09,3.12,0.03,1.0390
600016.SH,民生银行,2010-01-11,3.27,3.16,0.04,1.1568
600016.SH,民生银行,2010-01-12,3.14,3.17,0.02,0.5083
600016.SH,民生银行,2010-01-13,3.07,3.03,-0.14,-4.4248
600016.SH,民生银行,2010-01-14,3.05,3.04,0.00,0.1323
600016.SH,民生银行,2010-01-15,3.04,3.04,0.00,0.0000
600016.SH,民生银行,2010-01-18,3.01,3.05,0.01,0.2642
600016.SH,民生银行,2010-01-19,3.05,3.09,0.05,1.5810
600016.SH,民生银行,2010-01-20,3.10,3.01,-0.08,-2.7237
600016.SH,民生银行,2010-01-21,3.01,3.06,0.05,1.7333
600016.SH,民生银行,2010-01-22,3.02,3.12,0.06,1.9659
600016.SH,民生银行,2010-01-25,3.07,3.06,-0.06,-1.9280
600016.SH,民生银行,2010-01-26,3.06,3.03,-0.03,-1.0485
600016.SH,民生银行,2010-01-27,3.04,2.94,-0.09,-3.0464
600016.SH,民生银行,2010-01-28,2.95,2.91,-0.03,-0.9563
600016.SH,民生银行,2010-01-29,2.89,2.90,-0.01,-0.2759
600016.SH,民生银行,2010-02-01,2.89,2.85,-0.05,-1.6598
600016.SH,民生银行,2010-02-02,2.88,2.86,0.00,0.1406
600016.SH,民生银行,2010-02-03,2.87,2.93,0.07,2.3876
600016.SH,民生银行,2010-02-04,2.91,2.91,-0.02,-0.5487
600016.SH,民生银行,2010-02-05,2.85,2.86,-0.05,-1.6552
600016.SH,民生银行,2010-02-08,2.87,2.85,-0.01,-0.4208
600016.SH,民生银行,2010-02-09,2.85,2.88,0.03,1.1268
600016.SH,民生银行,2010-02-10,2.90,2.90,0.02,0.6964
600016.SH,民生银行,2010-02-11,2.91,2.90,0.00,0.0000
600016.SH,民生银行,2010-02-12,2.91,2.92,0.02,0.6916
600016.SH,民生银行,2010-02-22,2.92,2.90,-0.02,-0.6868
600016.SH,民生银行,2010-02-23,2.90,2.87,-0.03,-0.9682
600016.SH,民生银行,2010-02-24,2.86,2.91,0.04,1.3966
600016.SH,民生银行,2010-02-25,2.92,2.95,0.04,1.3774
600016.SH,民生银行,2010-02-26,2.95,2.94,-0.01,-0.4076
600016.SH,民生银行,2010-03-01,2.93,2.98,0.04,1.2278
600016.SH,民生银行,2010-03-02,2.98,2.99,0.01,0.2695
600016.SH,民生银行,2010-03-03,2.99,2.99,0.00,0.1344
600016.SH,民生银行,2010-03-04,2.99,2.91,-0.08,-2.5503
600016.SH,民生银行,2010-03-05,2.92,2.91,-0.00,-0.1377
