代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
600643.SH,爱建集团,2010-01-04,8.31,8.15,-0.14,-1.7286
600643.SH,爱建集团,2010-01-05,8.15,8.23,0.09,1.0554
600643.SH,爱建集团,2010-01-06,8.18,8.13,-0.11,-1.3055
600643.SH,爱建集团,2010-01-07,8.04,7.92,-0.20,-2.4691
600643.SH,爱建集团,2010-01-08,7.87,7.97,0.05,0.6329
600643.SH,爱建集团,2010-01-11,8.24,7.99,0.01,0.1797
600643.SH,爱建集团,2010-01-12,7.99,8.23,0.24,2.9596
600643.SH,爱建集团,2010-01-13,8.06,7.92,-0.30,-3.6585
600643.SH,爱建集团,2010-01-14,7.95,8.08,0.15,1.8987
600643.SH,爱建集团,2010-01-15,8.08,8.35,0.27,3.3718
600643.SH,爱建集团,2010-01-18,8.30,8.36,0.01,0.1717
600643.SH,爱建集团,2010-01-19,8.37,8.41,0.05,0.5998
600643.SH,爱建集团,2010-01-20,8.38,8.02,-0.39,-4.5997
600643.SH,爱建集团,2010-01-21,8.03,8.56,0.54,6.6964
600643.SH,爱建集团,2010-01-22,8.38,8.36,-0.20,-2.3431
600643.SH,爱建集团,2010-01-25,8.32,8.05,-0.31,-3.6847
600643.SH,爱建集团,2010-01-26,8.05,7.73,-0.32,-4.0036
600643.SH,爱建集团,2010-01-27,7.75,7.60,-0.14,-1.7609
600643.SH,爱建集团,2010-01-28,7.62,7.59,-0.01,-0.0943
600643.SH,爱建集团,2010-01-29,7.57,7.64,0.05,0.6610
600643.SH,爱建集团,2010-02-01,7.70,7.80,0.16,2.1576
600643.SH,爱建集团,2010-02-02,7.80,7.80,0.00,0.0000
600643.SH,爱建集团,2010-02-03,7.53,7.88,0.08,1.0101
600643.SH,爱建集团,2010-02-04,7.77,7.93,0.05,0.6364
600643.SH,爱建集团,2010-02-05,7.70,7.64,-0.29,-3.7037
600643.SH,爱建集团,2010-02-08,7.60,7.67,0.04,0.4690
600643.SH,爱建集团,2010-02-09,7.67,7.69,0.01,0.1867
600643.SH,爱建集团,2010-02-10,7.76,7.78,0.09,1.2116
