代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
600783.SH,鲁信创投,2010-01-04,11.20,11.18,-0.00,-0.0422
600783.SH,鲁信创投,2010-01-05,11.11,11.14,-0.05,-0.4227
600783.SH,鲁信创投,2010-01-06,11.21,11.54,0.40,3.6078
600783.SH,鲁信创投,2010-01-07,11.59,11.49,-0.05,-0.4097
600783.SH,鲁信创投,2010-01-08,11.52,12.05,0.56,4.8951
600783.SH,鲁信创投,2010-01-11,12.14,12.23,0.17,1.4510
600783.SH,鲁信创投,2010-01-12,12.15,12.69,0.46,3.7882
600783.SH,鲁信创投,2010-01-13,13.05,12.46,-0.23,-1.8250
600783.SH,鲁信创投,2010-01-14,12.64,12.20,-0.26,-2.0865
600783.SH,鲁信创投,2010-01-15,12.29,12.30,0.10,0.8524
600783.SH,鲁信创投,2010-01-18,12.33,12.53,0.23,1.8440
600783.SH,鲁信创投,2010-01-19,12.57,12.29,-0.24,-1.9238
600783.SH,鲁信创投,2010-01-20,12.24,11.43,-0.86,-6.9615
600783.SH,鲁信创投,2010-01-21,11.37,11.44,0.00,0.0413
600783.SH,鲁信创投,2010-01-22,11.23,10.94,-0.50,-4.3802
600783.SH,鲁信创投,2010-01-25,10.78,10.97,0.03,0.3025
600783.SH,鲁信创投,2010-01-26,10.97,10.73,-0.24,-2.1542
600783.SH,鲁信创投,2010-01-27,10.73,10.89,0.16,1.4531
600783.SH,鲁信创投,2010-01-28,10.88,10.87,-0.02,-0.1736
600783.SH,鲁信创投,2010-01-29,10.77,10.81,-0.06,-0.5652
600783.SH,鲁信创投,2010-02-01,10.81,10.81,0.00,0.0000
600783.SH,鲁信创投,2010-02-02,10.52,10.12,-0.69,-6.3839
600783.SH,鲁信创投,2010-02-03,10.19,9.99,-0.13,-1.2611
600783.SH,鲁信创投,2010-02-04,9.87,9.95,-0.04,-0.3784
600783.SH,鲁信创投,2010-02-05,9.70,9.62,-0.33,-3.3238
600783.SH,鲁信创投,2010-02-08,9.68,9.86,0.24,2.4558
600783.SH,鲁信创投,2010-02-09,9.77,9.82,-0.04,-0.4314
600783.SH,鲁信创投,2010-02-10,9.91,9.90,0.08,0.8185
600783.SH,鲁信创投,2010-02-11,9.90,9.88,-0.01,-0.1433
600783.SH,鲁信创投,2010-02-12,9.92,10.07,0.18,1.8651
600783.SH,鲁信创投,2010-02-22,10.13,9.98,-0.09,-0.8451
600783.SH,鲁信创投,2010-02-23,9.94,10.01,0.02,0.2367
600783.SH,鲁信创投,2010-02-24,9.88,10.21,0.20,2.0312
600783.SH,鲁信创投,2010-02-25,10.16,10.24,0.03,0.3241
600783.SH,鲁信创投,2010-02-26,10.25,10.36,0.11,1.1075
600783.SH,鲁信创投,2010-03-01,10.39,10.38,0.03,0.2738
600783.SH,鲁信创投,2010-03-02,10.54,10.78,0.40,3.8234
600783.SH,鲁信创投,2010-03-03,10.80,11.11,0.33,3.0250
600783.SH,鲁信创投,2010-03-04,11.14,10.57,-0.54,-4.8511
600783.SH,鲁信创投,2010-03-05,10.71,10.60,0.03,0.2683
600783.SH,鲁信创投,2010-03-08,10.63,10.80,0.20,1.8733
600783.SH,鲁信创投,2010-03-09,10.86,10.66,-0.14,-1.2697
600783.SH,鲁信创投,2010-03-10,10.65,10.56,-0.10,-0.9313
600783.SH,鲁信创投,2010-03-11,10.51,10.57,0.01,0.0895
600783.SH,鲁信创投,2010-03-12,10.59,10.34,-0.23,-2.1467
600783.SH,鲁信创投,2010-03-15,10.32,9.90,-0.44,-4.2962
600783.SH,鲁信创投,2010-03-16,9.90,10.15,0.26,2.5788
600783.SH,鲁信创投,2010-03-17,10.04,10.35,0.20,1.9553
600783.SH,鲁信创投,2010-03-18,10.36,10.35,0.00,0.0000
600783.SH,鲁信创投,2010-03-19,10.34,10.45,0.09,0.9132
600783.SH,鲁信创投,2010-03-22,10.54,10.40,-0.05,-0.4525
600783.SH,鲁信创投,2010-03-23,10.48,10.17,-0.23,-2.2273
600783.SH,鲁信创投,2010-03-24,10.14,10.37,0.20,1.9526
600783.SH,鲁信创投,2010-03-25,10.32,10.18,-0.19,-1.8240
600783.SH,鲁信创投,2010-03-26,10.13,10.50,0.33,3.2048
600783.SH,鲁信创投,2010-03-29,10.46,10.53,0.02,0.2250
600783.SH,鲁信创投,2010-03-30,10.55,10.45,-0.07,-0.6736
600783.SH,鲁信创投,2010-03-31,10.45,10.45,0.00,0.0000
600783.SH,鲁信创投,2010-04-01,10.56,10.65,0.19,1.8535
600783.SH,鲁信创投,2010-04-02,10.65,10.83,0.18,1.6866
600783.SH,鲁信创投,2010-04-06,10.96,11.30,0.47,4.3649
600783.SH,鲁信创投,2010-04-07,11.34,11.35,0.05,0.4601
600783.SH,鲁信创投,2010-04-08,11.35,11.60,0.25,2.1649
600783.SH,鲁信创投,2010-04-09,11.54,11.69,0.09,0.8150
600783.SH,鲁信创投,2010-04-12,11.70,11.49,-0.20,-1.6977
600783.SH,鲁信创投,2010-04-13,11.35,11.05,-0.44,-3.8651
600783.SH,鲁信创投,2010-04-14,11.26,11.88,0.83,7.5278
600783.SH,鲁信创投,2010-04-15,11.69,11.62,-0.26,-2.1877
600783.SH,鲁信创投,2010-04-16,11.62,11.75,0.13,1.0980
600783.SH,鲁信创投,2010-04-19,11.75,11.27,-0.48,-4.1030
600783.SH,鲁信创投,2010-04-20,11.25,11.83,0.56,4.9916
600783.SH,鲁信创投,2010-04-21,11.76,12.13,0.30,2.5569
600783.SH,鲁信创投,2010-04-22,12.01,12.08,-0.05,-0.4285
600783.SH,鲁信创投,2010-04-23,12.10,12.75,0.67,5.5164
600783.SH,鲁信创投,2010-04-26,12.76,12.91,0.17,1.2977
600783.SH,鲁信创投,2010-04-27,12.87,12.54,-0.37,-2.8917
600783.SH,鲁信创投,2010-04-28,12.14,11.95,-0.59,-4.7116
600783.SH,鲁信创投,2010-04-29,11.93,11.37,-0.58,-4.8259
600783.SH,鲁信创投,2010-04-30,11.34,11.01,-0.36,-3.1588
600783.SH,鲁信创投,2010-05-04,10.34,10.58,-0.43,-3.9056
600783.SH,鲁信创投,2010-05-05,10.47,10.82,0.24,2.2331
600783.SH,鲁信创投,2010-05-06,10.77,10.64,-0.18,-1.6601
600783.SH,鲁信创投,2010-05-07,10.16,10.15,-0.49,-4.5757
600783.SH,鲁信创投,2010-05-10,10.16,9.88,-0.27,-2.7002
