代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
000046.SZ,泛海控股,2010-01-04,5.86,5.66,-0.20,-3.4194
000046.SZ,泛海控股,2010-01-05,5.68,5.46,-0.20,-3.4682
000046.SZ,泛海控股,2010-01-06,5.52,5.47,0.00,0.0749
000046.SZ,泛海控股,2010-01-07,5.43,5.39,-0.07,-1.3463
000046.SZ,泛海控股,2010-01-08,5.38,5.44,0.04,0.8340
000046.SZ,泛海控股,2010-01-11,5.48,5.28,-0.16,-2.8571
000046.SZ,泛海控股,2010-01-12,5.29,5.39,0.11,2.0898
000046.SZ,泛海控股,2010-01-13,5.27,5.17,-0.22,-4.0940
000046.SZ,泛海控股,2010-01-14,5.17,5.25,0.08,1.5020
000046.SZ,泛海控股,2010-01-15,5.28,5.39,0.14,2.6480
000046.SZ,泛海控股,2010-01-18,5.39,5.46,0.07,1.2898
000046.SZ,泛海控股,2010-01-19,5.46,5.39,-0.07,-1.3483
000046.SZ,泛海控股,2010-01-20,5.39,5.17,-0.21,-3.9484
000046.SZ,泛海控股,2010-01-21,5.18,5.24,0.07,1.3439
000046.SZ,泛海控股,2010-01-22,5.15,5.13,-0.11,-2.1841
000046.SZ,泛海控股,2010-01-25,5.13,5.14,0.01,0.2392
000046.SZ,泛海控股,2010-01-26,5.15,4.93,-0.21,-4.0573
000046.SZ,泛海控股,2010-01-27,4.93,4.97,0.03,0.6633
000046.SZ,泛海控股,2010-01-28,4.95,5.03,0.06,1.2356
000046.SZ,泛海控股,2010-01-29,5.03,5.03,0.00,0.0000
000046.SZ,泛海控股,2010-02-01,5.03,5.11,0.09,1.7087
000046.SZ,泛海控股,2010-02-02,5.11,5.02,-0.09,-1.8400
000046.SZ,泛海控股,2010-02-03,5.03,5.12,0.11,2.1190
000046.SZ,泛海控股,2010-02-04,5.08,5.12,-0.00,-0.0798
000046.SZ,泛海控股,2010-02-05,5.03,4.93,-0.19,-3.7540
000046.SZ,泛海控股,2010-02-08,4.93,4.93,0.00,0.0000
000046.SZ,泛海控股,2010-02-09,4.87,4.87,-0.06,-1.2448
000046.SZ,泛海控股,2010-02-10,4.91,4.93,0.06,1.2605
000046.SZ,泛海控股,2010-02-11,4.95,4.99,0.06,1.2448
000046.SZ,泛海控股,2010-02-12,5.01,5.04,0.05,1.0656
000046.SZ,泛海控股,2010-02-22,5.03,5.05,0.01,0.1622
000046.SZ,泛海控股,2010-02-23,5.05,5.11,0.06,1.2146
000046.SZ,泛海控股,2010-02-24,5.07,5.19,0.08,1.5200
000046.SZ,泛海控股,2010-02-25,5.19,5.35,0.16,3.0733
000046.SZ,泛海控股,2010-02-26,5.34,5.28,-0.07,-1.2232
000046.SZ,泛海控股,2010-03-01,5.24,5.23,-0.06,-1.0836
000046.SZ,泛海控股,2010-03-02,5.23,5.27,0.04,0.8607
000046.SZ,泛海控股,2010-03-03,5.27,5.21,-0.06,-1.0861
000046.SZ,泛海控股,2010-03-04,5.21,5.05,-0.16,-3.1373
000046.SZ,泛海控股,2010-03-05,4.99,5.03,-0.02,-0.4858
000046.SZ,泛海控股,2010-03-08,5.06,5.10,0.07,1.3832
000046.SZ,泛海控股,2010-03-09,5.08,5.21,0.11,2.2472
000046.SZ,泛海控股,2010-03-10,5.24,5.12,-0.09,-1.6484
000046.SZ,泛海控股,2010-03-11,5.13,5.02,-0.11,-2.0750
000046.SZ,泛海控股,2010-03-12,5.03,4.98,-0.04,-0.8150
000046.SZ,泛海控股,2010-03-15,4.98,4.93,-0.04,-0.9039
000046.SZ,泛海控股,2010-03-16,4.95,4.97,0.03,0.6633
000046.SZ,泛海控股,2010-03-17,4.97,5.15,0.18,3.6244
000046.SZ,泛海控股,2010-03-18,5.15,5.12,-0.02,-0.4769
000046.SZ,泛海控股,2010-03-19,5.13,5.23,0.11,2.0767
000046.SZ,泛海控股,2010-03-22,5.19,5.17,-0.05,-1.0172
000046.SZ,泛海控股,2010-03-23,5.16,5.10,-0.07,-1.4229
000046.SZ,泛海控股,2010-03-24,5.10,5.10,0.00,0.0000
000046.SZ,泛海控股,2010-03-25,5.15,4.98,-0.12,-2.4058
000046.SZ,泛海控股,2010-03-26,4.98,5.11,0.13,2.6294
000046.SZ,泛海控股,2010-03-29,5.07,5.24,0.13,2.6421
000046.SZ,泛海控股,2010-03-30,5.25,5.39,0.15,2.8861
000046.SZ,泛海控股,2010-03-31,5.35,5.37,-0.03,-0.5307
000046.SZ,泛海控股,2010-04-01,5.35,5.49,0.12,2.2866
000046.SZ,泛海控股,2010-04-02,5.49,5.60,0.11,2.0864
000046.SZ,泛海控股,2010-04-06,5.60,5.46,-0.14,-2.5547
000046.SZ,泛海控股,2010-04-07,5.43,5.34,-0.12,-2.2472
000046.SZ,泛海控股,2010-04-08,5.35,5.15,-0.18,-3.4483
000046.SZ,泛海控股,2010-04-09,5.15,5.14,-0.02,-0.3175
000046.SZ,泛海控股,2010-04-12,5.12,5.05,-0.09,-1.6720
000046.SZ,泛海控股,2010-04-13,5.03,5.06,0.01,0.2429
000046.SZ,泛海控股,2010-04-14,5.07,5.01,-0.05,-0.9693
000046.SZ,泛海控股,2010-04-15,4.99,4.88,-0.13,-2.6101
000046.SZ,泛海控股,2010-04-16,4.85,4.87,-0.02,-0.3350
000046.SZ,泛海控股,2010-04-19,4.81,4.38,-0.49,-10.0000
000046.SZ,泛海控股,2010-04-20,4.29,4.15,-0.23,-5.2288
000046.SZ,泛海控股,2010-04-21,4.16,4.22,0.07,1.6749
