,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
2010-01-04,7.12494955138366,8.684239662437646,8.88754528953026,10.241032598962734,10.235420986390725,,7.378539482705668,6.22244925927855,6.5854064919820425,7.400257769423136,6.835342584815496,11.01714817132483,15.635248742875792,7.71825336732133,6.599531037765998,,7.873700463136297,4.354284686763839,8.825752452031386,9.279188825218943,9.963296292870506,16.58895246996142,10.176833395148398,5.296936148252451,6.844004901334535,4.980434937551627,5.324660864499297,9.78,15.40161894427624,7.3111806560534935,7.277149370817439,4.592710497795909,9.80092819981804,13.298097588002946,8.934696045631751,6.790951161327794,11.804352289746832,6.579662468498778,12.95,9.694140813687305,43.73623431251841,11.942081974302765,7.699249194829842,5.059765824722818,7.996004227959665,6.185163553025008,16.188159236830533,3.5745065822971496,7.4144050963996495,5.992910423218559,4.169766298660322,6.106888728919098,7.875786107801424,6.021668748404054,8.291193617035908,6.294247126595564,8.27,6.679600261405323,14.271813239109411,11.01174893966284,6.5403399092974706,,4.1264907888328795,8.233594741089448,10.020549062156363,10.019874640020348,6.765996313450654,6.703974477838187,5.894147398605046,6.150045144466088,9.396587917737776,,9.149394149136576,10.354434109389711,12.531563673891759,9.22467044598665,7.7482528849831045,4.474543552867083,22.89532139019229
2010-01-05,7.184150828669317,8.969972424631145,8.84446920598093,10.207613645743134,10.334200585159842,,7.4801898411514,6.221201700198901,6.580010856760958,7.479300678675443,6.931680173714648,11.151622509996173,16.01298986848366,7.778866382851224,6.552443651659349,,8.016241720899925,4.4739419747652365,9.017718615398135,9.399914870980199,10.160964401485867,17.086802411850293,10.298809811098511,5.364149521298631,6.978114154746406,5.1117939483311625,5.374672650529246,10.11,15.354550562632328,7.434484559268933,7.343006282245985,4.554132370880824,9.774331815723333,13.400154375328805,9.086446577351195,7.036329599924672,11.7214406037524,6.644984210259788,13.09,9.757162892217556,43.623497632269675,12.08374716389949,7.72529998862734,5.064485815862966,8.075560833378885,6.347011465789944,16.82891964891733,3.8063919761452967,7.520848636364098,6.050380601964523,4.196242069002931,6.1676622005649895,7.718860324872692,5.994129984358544,8.084393943549427,6.352798797184647,8.41,6.676095425868035,15.088791870444204,11.30161400169879,6.550722950937249,,4.152466198401324,8.428674949182211,9.71965202639799,10.276520995289562,6.791145556661684,6.711652279620911,5.913542406897198,6.226055798537003,9.476624787228644,,9.342417015861795,10.409811692755955,12.65428337691802,9.317040954419483,7.895284078865049,4.51846033257164,23.23265923205571
2010-01-06,7.0465477040211475,8.93056246784445,8.848085607905526,10.183781193934664,10.14282476562833,,7.563336410767753,6.374273587170576,6.479061681547423,7.4496489392857335,6.876133887594253,10.880887515003423,16.11137489884682,7.786077066735541,6.645285665693645,,7.951589383646068,4.435741143480521,8.91656556267991,9.282791495849082,10.094770067334393,17.143943521585012,10.234771007712084,5.294071566007062,6.872822501505468,5.191673746702337,5.375908333712583,9.86,15.488369643401665,7.388543141724354,7.6109946641068955,4.5641241697701895,9.88586973682023,13.638442258115266,8.95854962684745,6.942281846874817,11.645156477856526,7.239664147995048,13.0,9.786859107236104,42.90025578430342,12.072225993982446,7.747768447744417,5.050397300126784,8.035614553725697,6.276740513124292,17.0264382812407,3.7270437887615104,7.369572176660824,5.963588255966845,4.124327796264578,6.171107787982145,7.724336474890945,5.9171010619999915,8.06849673275926,6.387757169704459,8.5,6.710803320489858,14.929152976926826,11.193594833612178,6.4992315711921345,,4.11508724266152,8.486330936285045,9.560935543378994,10.347579596649261,6.752498860144274,6.708512146917328,5.8773096713812425,6.22520969141962,9.260010483512154,,9.298055964947542,10.408902524472754,12.677209679205932,9.337777391703662,7.884567476662453,4.4986510432347675,22.59279810326276
2010-01-07,6.859752727300237,8.692140942572724,8.58001341341213,9.928248003769376,9.958419953826638,,7.392550134421283,6.107250042893799,6.337291728598204,7.236822467269269,6.592841986334099,10.991138249553176,16.078063055498042,7.6426049109193155,6.449899045913036,,7.796625964098893,4.560752776198579,8.594447131586607,9.0781736694772,9.75129444893297,16.787562831944793,10.097910291943993,5.231447236281499,6.818630439171282,5.3241904790688475,5.263386470638005,9.72,15.049465137638016,7.215955723118175,7.661232877779442,4.441398807590351,9.6273383741693,13.29675448882223,8.875889269530674,6.7372438714894844,11.339633412696774,7.085065224837207,12.34,9.790745466016602,42.18346244288728,12.086133617590567,7.6571502756276395,4.97387552119723,7.8357003481129945,6.376515652253914,16.82853988897305,3.6314543963818617,7.169230533259604,5.946540686283402,4.035056670724264,6.031733329525776,7.639572857757759,5.77974572239443,7.806403532541191,6.225644667653764,8.15,6.6284204448519795,14.67866000593614,11.05079599732338,6.281192683665377,,4.064861439366853,8.27832175262294,9.206005287070582,10.22651114836431,6.600090693585655,6.6333958824947965,5.838509310264353,6.195392659576384,9.063331635150323,,9.107890571454407,10.159378929095832,12.45532919118866,9.266999548777452,7.747651912238684,4.404183879986905,22.151085358695383
2010-01-08,6.851039775446044,8.57672071740835,8.623572985292197,10.061066954836692,10.037295422246064,,7.3840609167879085,6.062239945513862,6.439391709107373,7.223708528109305,6.637743286023086,11.456436051450522,15.878591370691503,7.6074296562690105,6.394193457585079,,7.907056151028688,4.663192763337174,8.750556453494307,9.194397044548067,9.77472509393379,16.538740826862888,10.499633448085998,5.322966852486755,6.708911681506776,5.310936188890859,5.281396564351779,9.85,14.765297752033552,7.214424520134749,7.675487142017953,4.427075784440907,9.623077793323121,13.360485856258906,8.771492433792027,6.900837633439774,11.434171737713614,7.048846030715175,12.63,9.857447404491133,41.75922848654014,12.018121984250596,7.80936950718305,4.988921020684774,7.86987674200842,6.338371045416986,16.516582803765285,3.6389035426382925,7.209618759125451,5.966746586359383,4.050438446993061,6.085515412209679,7.6850244843936295,5.753816952207062,7.9663946729574295,6.382623207458341,8.31,6.777701200818416,15.035985295092718,10.91621337728563,6.35024813802159,,4.093491053030583,8.327029088362476,9.025640545869315,10.232776869816778,6.731694119560885,6.650563677848915,5.906627001034737,6.280276546379782,9.142924546353477,,9.27203083295921,10.169899797168794,12.499917227240902,9.27131927219293,7.882469102856555,4.471573912193741,22.103432427792356
2010-01-11,6.865919296100606,8.524207397632338,8.52904658730527,9.986757198438735,10.035066447255481,,7.624709635569215,6.031939330899233,6.569730910547745,7.096196665040847,6.561305146716572,11.81712405182333,16.165476024525464,7.591897820078068,6.326373321302187,,8.030630434445085,4.660380984179713,8.932667175670948,9.201701272253347,9.789401970922384,16.547148385959414,10.94952291675144,5.375867639876238,6.8275648905973165,5.454133132366669,5.297499572323341,9.77,15.271639121400522,7.277189255920783,8.056786734478363,4.438021942228092,9.645465961126662,13.38912266014202,8.918837897091146,7.052852910112764,11.373312447143295,7.178504523069874,12.72,9.910121551033647,41.55388620974637,11.911144839933728,7.7611083074766825,5.002031352459703,8.052407749651485,6.46082322740459,16.666021733500052,3.644651296029445,7.2036321104364465,5.952405443970319,4.056841203424831,6.24568412916412,7.839302089298458,5.710530683073504,7.988477057323946,6.665116815828618,8.7,6.867822220478143,15.356083685658104,11.055208120560895,6.3770704710756805,,4.086321443661605,8.602790088755254,8.860973908684166,10.397033746336978,6.81319459561376,7.120046614046001,5.941781926064335,6.278111508705819,9.056411281483062,,9.6055398307008,10.313184808143394,12.786621162213388,9.428909934939451,8.216940191123534,4.498639670778267,21.996131332714455
2010-01-12,7.396548913042316,8.694543490640775,8.709673744973411,10.178534028453862,10.265207919657003,,7.988315518921421,6.205846356157681,6.545943297649408,7.1785741330795005,6.666623110740703,11.979074416215301,16.223641064190637,7.746330386004852,6.387923341314931,,8.319230453669991,4.717750209916323,9.26371373805849,9.488998297901494,10.178280879204817,16.725974641123166,11.024218217718747,5.464443277684624,7.006233130583036,5.494677946299238,5.382360995770289,10.47,15.53122812605682,7.470324093492925,8.186919929479963,4.6124912881463755,9.898914702532881,13.806220040834674,9.263553435902587,7.3268038448566415,11.654664427341523,7.1564958782199595,12.8,10.025046424714482,42.555617454364196,12.146393626558481,7.892753168061471,5.070106715435467,8.223131399496525,6.537991296599804,16.661809914113235,3.697268810449662,7.315656701653373,6.101972816690386,4.07769782477491,6.457717529275889,7.924265762046588,5.935675722130464,8.255164756146073,6.738116154725553,8.75,6.894463059471287,15.452173704654246,11.098078432597164,6.607320304185728,,4.114374203346357,9.00320169631721,9.119834050527453,10.777635059635903,6.917506216458642,7.199475900835632,6.076436459612112,6.516405980748362,9.34417505076025,,9.712124658987445,10.549334267847467,12.901331495726112,9.6021313833284,8.406710988746205,4.602942198502042,22.299052191517987
2010-01-13,7.390268965068573,8.387548918770788,8.436662924881832,9.980570629227318,10.07570051801208,,7.814886751668656,6.1942347682891725,6.642126736832176,6.989766262437182,6.591075754095275,11.992432883102286,15.716558114091155,7.619523146517973,6.094226855570135,,8.543381316393464,4.544557327960712,9.449137445070715,9.785437730534978,9.973083412825016,15.805073639678982,11.182318943958858,5.446385940516169,6.932146228503089,5.4780820311460285,5.304930329236136,10.44,15.796338147456783,7.483050289442257,7.982183393634982,4.536777973621671,9.926227629830741,13.488677978548028,8.969763128065726,7.517995670003836,12.073531198009462,6.854224783565436,12.39,9.801890774342242,41.579809144752765,12.056690535789675,7.987146286126071,4.965046425954756,8.256856844030477,6.867664858161571,15.617095125047141,3.586397420658139,7.2682328993266285,6.0792986413160595,3.8569676890739784,6.471751593221099,7.830290315038459,5.7956906134492225,8.200005454414951,6.6345099907621305,8.84,6.863755923871807,14.666628940180551,10.691848333107481,6.520834150473758,,4.055599633300471,8.810138684457634,8.92943040034404,10.444497710171092,6.844184812965754,7.269543934362534,5.950919799050683,6.623089107327665,9.312758772522749,,10.033091378645025,10.676649775533086,12.803752413594903,9.765912160096862,8.55758195647281,4.596872351382349,21.259481626213052
2010-01-14,7.564093007649856,8.528696019614088,8.574533337227235,10.157880098403254,10.239873177814854,,8.02089984412353,6.2960804700802715,6.85386908470666,7.132500559669005,6.765409877999657,12.135450973436754,16.11523480455397,7.7927508182172645,6.159135378514658,,8.631715288587692,4.6016111575590575,9.599335728437774,9.92590398030297,10.420655983355214,15.936646588964154,11.328077956667073,5.5570128411858315,7.332331075755198,5.594291644669803,5.37031218995777,10.64,15.93084366715843,7.894624118963482,8.068059523126077,4.7168175869310005,10.05593785991972,13.834879435499728,9.003397134717453,7.69115656701439,12.427134345361013,7.012924517591634,12.46,10.049159640426003,43.167250093231445,12.282689529413984,8.501797735181121,5.0181068837220515,8.373840118781624,7.090366700540731,15.799968294735281,3.643492976705924,7.452184621607374,6.219335494106101,3.8790395921565355,6.550141976214687,8.158283702094682,5.964457360061113,8.31335913639944,6.891690656020952,9.16,7.047545918392378,14.964504330153009,10.747271601247254,6.729417048100438,,4.1150539346466815,8.968042894333488,9.110911129730852,10.722550613638408,6.975483468830343,7.269111394012302,6.091453801111326,6.6587194213757215,9.622284002019262,,10.40036327910515,10.917852264839217,12.897872844081244,10.130022095857072,8.936821841461832,4.70839040456388,21.596950272470806
2010-01-15,7.663788581108319,8.528032671267518,8.616306543709621,10.319589950210073,10.239127379306431,,8.035414240306752,6.867281245383626,6.759432575640595,7.213290649951135,6.791750520404671,12.223814967734763,16.09272312972453,7.902581248104953,6.144629544685975,,8.709425547806543,4.598446368935126,9.502343923226748,9.724788170140622,10.37568735262395,15.842730379618045,11.821657826623182,5.579145584351608,9.474526238429176,5.623819535717423,5.368676079939063,10.55,16.12664223030215,7.877370475138335,8.121236316978875,4.788681716091094,10.068358427857959,13.94832366458277,8.956244992696403,7.6210379054177615,12.482545250328927,7.262861466123473,12.8,10.201017214067912,43.457240653320596,12.240101489468813,8.593054667340017,5.050373706613513,8.440662438919531,7.03348973027777,15.900077298531675,3.714192350940891,7.667406970056899,6.155444738779673,3.8913336479698413,6.624426735570888,8.257240269738244,6.010709735643605,8.654205980488477,7.008695306923457,9.06,7.0143723634016135,14.965999208527723,10.804451473062068,6.805228327830545,,4.132628065066302,8.89539058872495,9.249458950267975,10.561364771931721,7.0411159681828215,7.331515606828608,6.127829834230245,6.624071568424643,9.616944092938526,,10.290056744875425,10.950669673710854,12.908271517107787,10.144500865040104,8.955846236960234,4.7568276580476825,21.75758461591704
