,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
家具制造业,1.0,0.3423227005403165,0.4292216807257203,0.41083755424685964,0.21922873374688773,0.25587781637950224,0.36437794400356743,0.33205240844423345,0.2715428033948995,0.2395878399551263,0.3897648932296394,0.49578866834821295,0.258033476357225,0.2775032789655077,0.33531656286664746,0.24079050018721151,0.30789633522332494,0.3280451462948386,0.3780961632724717,0.22929872867787532,0.39731786802690666,0.3300716014373463,0.33473678078665714,0.36881577649181974,0.34743155755145094,0.3491860620238282,0.24727297311996863,0.002404851302816126,0.14734156984462451,0.2009635960996329,0.38544486467786043,0.28831122076547533,0.3521949642832268,0.3805583557536357,0.32761274143661384,0.32478788552363846,0.42093202676544256,0.3943691761217481,0.30686431512157053,0.4911158033399394,0.29297527152817177,0.43587913638992115,0.33907637342864616,0.4091610684251926,0.4670302250104849,0.1903897064014092,0.3359711018935363,0.0822566761817148,0.35827022000340614,0.20104885518052093,0.4042317487335101,0.44922569403597895,0.4130488633045787,0.43453647118266137,0.32451244391391687,0.26767651369113393,0.08902964742134391,0.3412835473037867,0.41101015919533457,0.15411963275908333,0.3724003437833348,0.3432370643562915,0.19542391200701104,0.3749761738627846,0.48146618075572906,0.25049120169161004,0.33028030841314326,0.42458851331933206,0.3678182806357208,0.4423999580862636,0.28846776068185603,0.23925886578063416,0.34574341631093114,0.3981928824323432,0.4436175812598806,0.3828773473530847,0.330342439985231,0.37445759520359584,0.43852364707330904
石油加工、炼焦及核燃料加工业,0.3423227005403165,1.0,0.49546864522101536,0.5868774059595465,0.3065409285497719,0.2884787614613338,0.3409875467098732,0.3104971947490131,0.3206753412940457,0.41402442329550426,0.5446781596816348,0.4190739231088757,0.4367023227585145,0.1101659778117327,0.5639447191309819,0.32898961823072426,0.40902379877725875,0.21817130508981072,0.36096865085100394,0.17408747412899644,0.5507126087750099,0.4087966415565461,0.23950184446028136,0.5603675649068451,0.40981585577187185,0.4359204474404891,0.23947260826913422,0.09993405353629639,0.06376332807893005,0.20738507129010564,0.48221330906908394,0.5054477854817486,0.3758754581350154,0.46413541216789034,0.5073719095576967,0.3589339923732687,0.36363797816636717,0.39704761605040384,0.5468681838831602,0.4719928315486515,0.25470035602229263,0.5744163097494817,0.2296967959284026,0.5943591623353486,0.5713058362440525,0.1672522674390682,0.4220101181967665,0.23556866652143857,0.23626196305852937,0.15772287103661797,0.427993250092629,0.5457518561748413,0.41986530676677536,0.40211199994062075,0.5162059560654277,0.477308427765535,0.20152241123246115,0.5208476322044465,0.49502996405460387,0.18429369906664478,0.5051843296382308,0.3965623481972655,0.2533408827632368,0.5497843537254198,0.5378313650247266,0.4450947788343463,0.4951383461139078,0.5639490963348922,0.4528931341388663,0.4935118159994768,0.49119276962684794,0.33060327665786327,0.4149632458376089,0.30307260797540064,0.5539936610804391,0.5112552623544951,0.34229137226301004,0.48830769112626343,0.45049130694648387
非金属矿物制造业,0.4292216807257203,0.49546864522101536,1.0,0.47825998426495603,0.288153073813044,0.23210280192078775,0.45282111612242115,0.32194549301726294,0.2712403855581817,0.31349744304233434,0.4651299234246331,0.4777201630327818,0.4429890439018494,0.2847464499511987,0.5830924035720333,0.24353402680386876,0.3020005885887128,0.38868905399815035,0.29219296144542456,0.2004713317001005,0.4253521497023386,0.5609734449916697,0.3508434097692148,0.4964403276940738,0.29192266776584297,0.41281069332077086,0.29031354288645345,0.07721322718157914,0.11581780309347207,0.41995983774380535,0.47232830851787444,0.4043779379149201,0.42264169008636365,0.3414727214731147,0.5051472056047428,0.37888677098142465,0.4908890489889502,0.3437257915734365,0.41010685746342146,0.5842169790089731,0.41034003515920175,0.6264598917464138,0.24424907548464103,0.5987090296923508,0.5004343820051494,0.2908409598205142,0.3926535821254104,0.16466940466481123,0.4185958110661703,0.31020300569751724,0.593821644182768,0.44768888099647025,0.42219809606796416,0.47455419223361167,0.45230852762822354,0.3527685192652987,0.07971240436598317,0.3738865636954655,0.4826477921467462,0.1874010132677028,0.5111900089576137,0.3828334158718302,0.26787789292645114,0.5057833655008748,0.5157227665422279,0.3834633765652287,0.434946565060541,0.5178895010722142,0.38867332731745385,0.45677763152925754,0.3910617378092059,0.3324472864706624,0.3800480183190062,0.4854737803981223,0.5034348659553801,0.36069767705884037,0.3217328260527776,0.4783445046016473,0.6174870125812145
通用设备制造业,0.41083755424685964,0.5868774059595465,0.47825998426495603,1.0,0.4388025963383426,0.5294475795563268,0.3620927106912536,0.5000715393314406,0.3528291143012579,0.5390816985243898,0.766934734570473,0.5276642306000191,0.6030958928624821,0.3797165239180541,0.5790361766303234,0.5136336825173128,0.5579580967187767,0.36974084888072917,0.6643070854064015,0.3941686674900328,0.7146663789339305,0.4363940962302158,0.4225187929655464,0.7115123736653842,0.7191612338599676,0.6658635010062857,0.28322819130612104,0.19798783716683607,0.15403551115289002,0.18234631252410025,0.6863969896576577,0.677980038012328,0.5281303046155063,0.7259828062418807,0.5420039070113045,0.6259584215890072,0.5575619578523515,0.5655780853659934,0.6556505959242748,0.5025500901863956,0.2970259796594761,0.6956839397266172,0.47488972411438574,0.7145275471817075,0.760809983308333,0.30530224572388026,0.6417073381348392,0.2810522834556842,0.21076053131903158,0.16967428393306908,0.37361238224661714,0.6944438489632907,0.5940635756209407,0.47985625747524807,0.7029404334329735,0.6872644406160514,0.22712995180095755,0.6800558759632042,0.6584050625283568,0.3157078542304886,0.7008104501350048,0.4924378411780097,0.3867635167216126,0.6844366685280697,0.6008436339962295,0.525543741639708,0.7280116107441074,0.7812919786263691,0.629783832158973,0.6638584805385757,0.6970968479967494,0.466963541397606,0.645282045603443,0.43735968467979985,0.719779906816552,0.6833339152318001,0.5419699642273504,0.6641988973236218,0.4379000723047286
农业,0.21922873374688773,0.3065409285497719,0.288153073813044,0.4388025963383426,1.0,0.2924472360151455,0.1919200706316349,0.26191752709837773,0.27973875091356276,0.34809572528424226,0.464285399125316,0.30667986324704394,0.4534593681665178,0.24892305379423693,0.3801911472471605,0.31273434703486513,0.2508235759336252,0.22219537126722844,0.33186762480981086,0.3009673753879106,0.44024159600321744,0.27237268171280427,0.22279902823934,0.44466566192974094,0.38466724888536363,0.4011026632467871,0.141215869653531,0.6320105722977764,0.05877706322933333,0.1326189239918985,0.4105507605140387,0.48280549854341215,0.3165228116653841,0.358417683442019,0.32505348109048665,0.39630876441873225,0.32825357910950687,0.3365807420055772,0.3868150072204679,0.2650856774410684,0.1254711152238405,0.388470972685585,0.30950070366614946,0.44631836809557135,0.47882250771167734,0.2004625629438571,0.38534120075456485,0.1919177838937812,0.2542558643464655,0.0834215217377171,0.1962199988063703,0.43382020501584884,0.29425724086178107,0.3069342396547849,0.3925403626721243,0.3976717176271803,0.23367610748289694,0.38978084282483844,0.29360846135306223,0.316050907136706,0.3507334149100031,0.23297507980491597,0.246357868222772,0.4102114291778339,0.2961743463264572,0.41319647031985773,0.4484824766089276,0.4817403576732961,0.38970064731156884,0.3248569737605117,0.5564612564573702,0.26840611811684556,0.3500493046743822,0.2485164982483044,0.4217435760938683,0.348190530907344,0.23553721667781893,0.3036759555211101,0.17629269171410178
建筑安装业,0.25587781637950224,0.2884787614613338,0.23210280192078775,0.5294475795563268,0.2924472360151455,1.0,0.21503745555748266,0.26602308720962903,0.26571610116353106,0.3294865468288782,0.47725445050363047,0.3138356819787302,0.38894595846318625,0.20921632296147324,0.28861493137541366,0.30192518380474576,0.3576290151782625,0.09774071057007422,0.5006122532463169,0.21788161843092144,0.4469763625595929,0.1286804380318771,0.233446744832463,0.3980087487216513,0.49043938604974313,0.46231515774557846,0.10924365084357275,0.19951223188661046,0.0012079319881845051,-0.006722769430712841,0.4620336697574658,0.43739361676548766,0.2630173881917317,0.47158660114905315,0.2753290021820342,0.4507738048272634,0.18622971302586877,0.33364879451576857,0.4285709601720036,0.246098373039005,0.06857277941737959,0.35614902907083845,0.24798770528971267,0.4466926894072641,0.45007011780423645,0.12912033354267463,0.34783429735913474,0.15144310766142755,0.06637724039718869,0.03332321584981973,0.16471534069338364,0.39076844363816615,0.31529386095185996,0.19314627927509367,0.4556722352120545,0.40582118067762013,0.13675047954878608,0.43015577268178257,0.38887919175121877,0.1919521947173181,0.4645275577205433,0.3178989093136834,0.1975726898860539,0.3839742363739239,0.29735791709851217,0.35881750712864613,0.4577586900536711,0.48313282686712206,0.38146807726487564,0.3906138359002712,0.4099954622858397,0.3450467886695845,0.42438168832739503,0.17162942808295095,0.40632122502602036,0.38839747269734776,0.379168680336409,0.3757123887000349,0.19065168743160482
金属制品业,0.36437794400356743,0.3409875467098732,0.45282111612242115,0.3620927106912536,0.1919200706316349,0.21503745555748266,1.0,0.28987171802885886,0.259029087361895,0.22131040100512775,0.40806912203682166,0.364821168992336,0.2922498808554382,0.31168814703687064,0.3579767549519004,0.26107902383764514,0.25165753221813364,0.3863722268621033,0.25692884775860797,0.11230694863872745,0.3254389935494319,0.3506551116875281,0.364617363452124,0.4076421449737468,0.2525558510003118,0.31159342664645256,0.25955517863172833,0.03466820614568254,0.06474300210066582,0.31252302367320456,0.3409462301846297,0.32327821417482216,0.3557389473833478,0.24759026116537156,0.367694265380343,0.25545108615100215,0.4228738412591163,0.2997549671091605,0.2685377478918297,0.49083871510802635,0.3875497081633224,0.43553451453837294,0.2910222924866031,0.4003449471977738,0.4351614092694744,0.28965664541963426,0.24047041422992196,0.17083076228091454,0.49647086265872414,0.33003851082013214,0.4848485099317993,0.30193467973235927,0.37066590226196233,0.35148958930317714,0.3361705696495521,0.29278996919991845,0.015107566799984224,0.2792399808083874,0.40001443356499217,0.0239447740445221,0.41993804095222986,0.19750335471949726,0.1859984871219146,0.34210681270924187,0.4033134123040102,0.19123052801094217,0.35813939781281107,0.3997458126662482,0.31893334260126355,0.3284526122172245,0.25808237053644134,0.21301155804520566,0.321803188295839,0.4707339658947052,0.36660683593262766,0.2788287583692494,0.2922145709925381,0.23006572038719622,0.4693116973336614
邮政业,0.33205240844423345,0.3104971947490131,0.32194549301726294,0.5000715393314406,0.26191752709837773,0.26602308720962903,0.28987171802885886,1.0,0.24688646155074784,0.3046980818802055,0.46198577621048487,0.42583951497514994,0.3783766602790548,0.28230923369315025,0.39696312587968785,0.2802155375658395,0.34807116474957167,0.3500697210859975,0.34164105720120125,0.2385764984534114,0.4695104899341599,0.33164561396701187,0.4215515340643007,0.40966868340573886,0.40635326893227947,0.3772438982372157,0.15515042759412478,0.1007699941073273,0.07104885659756324,0.23152097349139217,0.4369228703531364,0.4520753676034756,0.3764334010834418,0.4308872880657174,0.3799901246176058,0.3461745247871601,0.44059723489454294,0.4061221306726601,0.3639902083235323,0.38921799456500683,0.2182781691016283,0.46412369549970944,0.3732855295605756,0.42519974905668045,0.4835269521398857,0.31533033319420084,0.3337590957175612,0.18668108137960757,0.3108506439854644,0.25206495209188307,0.2996770799366704,0.4218445652016985,0.4092945065303694,0.36702209484090215,0.35539598475956374,0.3370333073792776,0.06755752117329887,0.4036208168902143,0.3838247627123542,0.21513779360499463,0.46384823334853215,0.29949127099583184,0.1663046288229645,0.40727132998352356,0.4326782469443994,0.3055895513918217,0.3859937630051501,0.44604067582428963,0.4012668806452985,0.43382483288268814,0.43079554576671386,0.29568536036853765,0.4164136127456726,0.37224689289047846,0.45622966154785,0.39992149815039746,0.3104446051179916,0.39222558348849496,0.3657264076751403
其他制造业,0.2715428033948995,0.3206753412940457,0.2712403855581817,0.3528291143012579,0.27973875091356276,0.26571610116353106,0.259029087361895,0.24688646155074784,1.0,0.16923011131006135,0.3680250630909471,0.3382427488573146,0.32380036378329713,0.23643112288282325,0.30544835440017104,0.21104486200957687,0.2755520157141608,0.23166300644849053,0.38368324484348193,0.2549617021870549,0.32325703902749414,0.18208516604669991,0.25210061540910295,0.35277272324506725,0.3734059220887375,0.3309432682672568,0.14341151622949946,0.12343250497629764,0.10967775951075596,0.13719422576383702,0.2513271268884334,0.2941993029718918,0.30228163565469685,0.40656292006748124,0.2328969690953306,0.21075210565453098,0.2798628977550285,0.31482178935865573,0.28746191561744383,0.266212856212901,0.16809644513174538,0.35499121756343277,0.2515920680914926,0.32913724366577657,0.43800450911764616,0.17603245089731204,0.306292137508875,0.23456640342548016,0.2530368486191707,0.10623199785412323,0.20212128380693264,0.42523879560274314,0.2143374643637421,0.26359042243876923,0.2865352528592337,0.35143370375294336,0.09316978667331607,0.29561169885458594,0.22886822696997322,0.5474527811329728,0.2648655861018797,0.29797745023929584,0.1230007409678612,0.29968155556776055,0.27998539593307264,0.3345379598339473,0.2971963199630943,0.34439518708695643,0.24100245280420926,0.3306610198059839,0.2615475410500807,0.2581591953872906,0.23428927685009476,0.19800395568101353,0.41531207917837465,0.31638681393018614,0.40923501869686396,0.2428796135332913,0.24194791594599388
燃气生产和供应业,0.2395878399551263,0.41402442329550426,0.31349744304233434,0.5390816985243898,0.34809572528424226,0.3294865468288782,0.22131040100512775,0.3046980818802055,0.16923011131006135,1.0,0.5614485465834543,0.3756023617207146,0.43066475403017307,0.18730795498380862,0.3867709788596005,0.33596987859035876,0.36425449800822324,0.1930691560486635,0.26247969304802793,0.23447488698806157,0.4790808246887879,0.3872088886048687,0.3503258651505486,0.5313387595042498,0.35935525090473336,0.42846908593034144,0.23537251737113618,0.18326074119293012,0.09247857087103396,0.08380246243976648,0.47459058537416793,0.5109378214819159,0.32499656914017305,0.39150726135751934,0.45795039281678357,0.39839827934422956,0.41261389124011216,0.3371936589663724,0.5287014000446746,0.34967169543107335,0.21986189032717135,0.4847264343664133,0.30737117306902945,0.5467351972744168,0.5357327373543486,0.22129818753317787,0.40302895599837657,0.19753708548190554,0.09894516353406226,0.120745363179361,0.32129491713338637,0.5067556115815347,0.47550502035894243,0.39787836158401224,0.5389998494671193,0.5229388208192086,0.23612284347572687,0.48293797362349083,0.45978496238753463,0.1452453419270863,0.4760602254692186,0.30460321843002813,0.20976572499865448,0.5183409207542895,0.44873923499886076,0.5497829334824783,0.4574046770096236,0.606808186452296,0.3720569583961373,0.4277871149881248,0.506305778301552,0.3049864526876875,0.4374660234385035,0.28946821734340267,0.4819585482034437,0.373495502496532,0.29749149530643576,0.412042638436082,0.2943718788297281
